case,gt_q_d_n,mu_q_d_n,hit90_q_d_n,gt_q_d,mu_q_d,hit90_q_d,gt_q_s_n,mu_q_s_n,hit90_q_s_n,gt_q_s,mu_q_s,hit90_q_s,gt_inv_temp,mu_inv_temp,hit90_inv_temp,gt_cost_stop_error,mu_cost_stop_error,hit90_cost_stop_error
88,0.18580618684962813,0.45128003,1.0,0.5209032649890122,0.5417649,1.0,0.847376997506912,0.7332285,1.0,0.8160991945584336,0.8038892,1.0,67.50203846477116,41.215282,1.0,0.3433365552889729,0.4374618,1.0
11,0.8002333868187609,0.7395553,1.0,0.8659421523534296,0.82210255,1.0,0.39467989724394426,0.4050136,1.0,0.847310840065221,0.8254677,1.0,73.8689378066736,68.52967,1.0,0.40251976835730363,0.41695666,1.0
99,0.8741415060940564,0.9446886,0.0,0.6172546684687581,0.70771676,0.0,0.7345720915618733,0.76935816,1.0,0.5841898208864171,0.7756974,0.0,70.27974706576947,50.776924,1.0,0.1359356221791673,0.40740296,1.0
45,0.8087781132467932,0.82982004,1.0,0.5822579564826174,0.62461776,0.0,0.0722957240259815,0.06244719,1.0,0.8021473436742961,0.8485311,1.0,85.18612721449662,77.45668,1.0,0.5165715756926323,0.402027,1.0
60,0.03344554130776023,0.28585553,0.0,0.7450932809890094,0.7944041,0.0,0.18333564929587853,0.5739683,1.0,0.759796484293604,0.69330335,1.0,7.6626085357164255,6.605028,1.0,0.013058623499848624,0.39184913,0.0
142,0.5365261765406613,0.3202904,1.0,0.9368238692555555,0.93229526,1.0,0.06530704559376821,0.3581604,1.0,0.625420428538241,0.6267676,1.0,60.83332569297858,53.470608,1.0,0.1850457863418839,0.3848622,1.0
160,0.7937426029498151,0.6191091,0.0,0.9717874469834271,0.8844192,1.0,0.42571561796206625,0.5709386,1.0,0.7754143499405278,0.73062354,1.0,4.83559599155737,5.10024,1.0,0.4842262444159476,0.379245,1.0
170,0.6409811673641085,0.43530425,1.0,0.9417995818461476,0.80048984,1.0,0.44401666975500764,0.50788224,1.0,0.7254450703959558,0.7174282,1.0,2.2376354812514943,2.287564,1.0,0.7093023226230416,0.37123603,1.0
13,0.4345967939445554,0.60172087,1.0,0.5180926066331575,0.5852232,1.0,0.6437149837804057,0.5007672,1.0,0.6455093505345373,0.6945967,1.0,26.103806891670107,13.608564,1.0,0.18249847791765758,0.35290328,1.0
134,0.7985542497627655,0.7890453,1.0,0.9023817650549673,0.94232666,0.0,0.2991529942290404,0.12760514,1.0,0.6551705085981394,0.63896847,1.0,28.036825558184507,51.39536,1.0,0.4120897716605586,0.3331347,1.0
