q_d_n,q_d,q_s_n,q_s,inv_temp,cost_stop_error,cost_time,cost_go_error,cost_go_missing
0.357198,0.9346448,0.091292605,0.9869521,67.67,1.670051,0.002902636,0.04420512,0.02678062
0.6812075,0.97593725,0.06290683,0.8502849,82.28169,1.1458192,0.0017519316,0.058515884,0.26957163
0.69247365,1.0085727,0.06707862,0.8859201,86.04187,0.81027037,0.00040879115,0.038729914,0.33568016
0.1285994,0.9742632,0.011790984,0.780759,85.53731,1.6211784,0.0034625283,0.035179034,0.47267008
0.27942348,0.8641465,0.020509655,0.8864041,64.11149,1.6429421,0.0027235618,0.0659565,0.08600156
0.51270235,0.7884672,0.07064454,0.9214263,63.380253,1.5709816,0.0027845392,0.3796426,0.029738473
0.4515196,0.96100724,0.04264146,0.92475057,86.8396,1.2593517,0.0018196342,0.03896964,0.013545303
0.5883239,0.87083286,0.0964061,0.8708143,67.759865,1.334468,0.0019652343,0.4231511,0.13424699
0.13902688,0.7597061,0.03405646,0.78276724,93.14742,1.3316121,0.002837562,0.046771802,0.061201982
0.21448827,0.91940576,0.025330026,0.71152794,45.76713,1.6341093,0.0008780044,0.07456966,0.3425718
0.6404048,0.83887404,0.04540822,0.9834347,79.60077,1.4991863,0.0027495672,0.08772288,0.030141339
0.37489268,0.76845616,0.030716468,0.97902346,87.77696,2.326782,0.0060913856,0.05281599,2.010301
0.30849218,0.7816926,0.0138148945,0.86594784,78.33678,1.8596611,0.0045952224,0.06350329,0.53450125
0.3339604,0.9375912,0.087295875,0.9567323,67.244354,1.6748773,0.0026053863,0.06302943,1.2176338
0.26954424,0.85973614,0.041581955,0.93315613,62.192875,1.3912088,0.0017358196,0.042186555,0.01436901
0.06375313,0.79670364,0.022556365,0.9565425,67.790985,1.9792873,0.003831924,0.06385742,0.07278814
0.70820117,0.99516857,0.028407205,0.8671566,93.16462,1.255498,0.0017707809,0.03410318,1.0186104
0.4895602,0.8455032,0.042465948,0.8210703,89.529854,1.3401983,0.0022428615,0.0444257,0.055761464
0.22563624,0.69650966,0.075469896,0.8586681,96.19516,1.3545873,0.0036729418,0.062232677,0.03232494
0.13224906,1.002766,0.04519866,0.9752047,57.998917,1.3812382,0.00085220765,0.048382234,1.2329806
0.7468669,1.0113312,0.025495183,0.73680687,83.280266,1.3826313,0.002248659,0.040255863,0.10827132
0.17314601,0.72772646,0.077056915,0.93446666,71.739784,1.3516831,0.0019962823,0.13865645,0.022862148
0.5990434,0.80340546,0.0708906,0.8480866,77.19992,1.6961918,0.003739538,0.08923099,0.59116787
0.5527267,0.7911893,0.08849063,0.93250847,87.87438,0.8030215,0.0005929673,0.07581219,0.8542498
0.086941004,0.72312546,0.07780144,0.9572589,70.978615,1.8461518,0.0043167663,0.089974225,0.122716
0.29991937,0.824752,0.12704876,0.9222746,75.226906,1.0141144,0.0009256897,0.06989732,0.08189392
0.5840787,0.9700024,0.027821383,0.824759,61.913704,2.0292447,0.0036786874,0.057935614,0.0420589
0.31881726,0.72343284,0.022987457,0.92893285,81.84335,1.305654,0.0025502685,0.20224862,1.243539
0.34436202,0.7379485,0.027239231,0.9087092,73.37692,1.8821825,0.0047393343,0.11537242,0.66845495
0.02026838,0.85895246,0.07087658,0.94331527,83.22922,1.0117573,0.0012823029,0.0350068,0.44894832
0.4301049,0.88301134,0.047887333,0.94105947,74.53243,0.9345587,0.00060819095,0.0620695,0.76280564
0.704052,1.0024595,0.02554281,0.75767016,91.03206,1.4574877,0.0033569129,0.037052035,0.5194476
0.44483337,0.7808453,0.023306634,0.7783879,48.547028,1.6553345,0.001545007,0.15830724,0.6096971
0.44811296,0.87436306,0.07456398,0.99797904,97.76267,0.9347954,0.0010742577,0.029297696,0.011588813
0.3615347,0.759163,0.044181492,0.9824227,85.512596,2.0747828,0.0058669043,0.06787629,0.025987074
0.27846777,0.75338495,0.025768863,0.927524,58.70652,1.4962404,0.0022657618,0.11070679,0.032805048
0.7169883,0.9729965,0.07953264,0.8926116,60.032482,1.590324,0.0026181065,0.08118414,0.10525535
0.24003482,0.92028093,0.053288,0.91302943,77.144424,1.3443325,0.0021516948,0.05336898,0.062761076
0.48711494,0.7913451,0.02319695,0.9847876,81.30145,1.5032394,0.002984493,0.46896842,1.5223979
0.6789701,0.9109257,0.10382369,0.9626374,52.687935,1.2799791,0.0007485344,0.07611294,0.072561584
0.19833744,0.713444,0.014804011,0.9142302,68.94807,2.0977206,0.0051042354,0.1303497,0.8646912
0.17292732,0.9702657,0.03891475,0.8400697,94.164825,1.4292108,0.0028722535,0.040481675,1.8457346
0.66035676,0.94759727,0.11361747,0.9765674,94.55926,1.9481294,0.0056873504,0.06355541,0.39289168
0.49463996,0.9029521,0.03906803,0.7831394,88.63976,1.3316598,0.0027470745,0.04307475,0.13251671
