trial,mean_rt,sem_rt,valid_subjects
116,551.9889527176315,2.974481132207011,4526
117,540.2736351531291,2.883438230850592,4506
118,539.9590295262074,2.99444596267001,4369
119,526.0546836684649,3.012327733697202,4078
120,557.1215014102843,2.895473562791914,4609
121,543.6111111111111,2.878751447300686,4662
122,530.8107142857143,2.83064005005906,4480
123,562.5917324663261,3.0085539877304357,4306
124,554.5189274447949,2.9552508063193743,4438
125,591.5350011475786,3.034171921334525,4357
126,603.5193932827735,3.013662635622584,4615
127,582.1628352490421,2.897141183776673,4698
128,583.9196563921172,3.099538247972001,3958
129,585.649721016739,2.765354804902672,4839
130,591.2773009060563,2.988064550894354,4194
131,582.0939021562717,2.9633738222186716,4313
132,591.5225748770675,2.8596827749570006,4474
133,598.7982905982906,2.923249213838991,4680
134,583.8321394460363,3.0341920598656826,4188
135,586.4943943723896,2.8070914999228633,4549
136,594.7479452054795,2.9443504628746493,4380
137,587.1549225387306,3.0529415674762173,4002
138,589.5037922316709,2.9580560786642853,4351
139,603.6987205943046,2.8969704394676943,4846
140,583.554984080333,3.0052454981293515,4083
141,584.7015177065767,2.8833371643570564,4744
142,565.285811269518,2.9531935849460247,4419
143,580.7486326344576,3.0468902548656827,4388
144,577.6382932640242,2.8986791494494493,4617
145,563.029983978027,3.020896573069254,4369
146,571.3451913133403,2.904866547471411,4835
147,544.2120631881282,3.0208331565888837,4178
148,557.1490384615385,3.0133457188737536,4368
149,551.2182590233546,2.9950432259671347,4710
150,558.0522785102938,3.0744696227007315,4323
151,585.8981244671781,2.973512257169057,4692
152,561.720551661768,3.021561975954968,4423
153,584.4929836668967,3.17776613798248,4347
154,554.843363561418,2.841461058179968,4852
155,543.2060125844791,3.054038134970326,4291
156,542.6199043498065,3.0163488220077337,4391
157,544.4253308128544,3.050524757449187,4232
158,561.4964370546319,2.9972514947304543,4631
159,543.5046181572426,3.0054008029748247,4439
160,559.3069041229568,3.062896311892588,4099
161,596.11144839549,3.100669253159802,4612
162,592.0757935651047,3.0378553566968325,4631
163,569.6254785197788,2.9137803692270743,4702
164,570.5840918942349,3.0054000516928747,4614
165,575.6986879100281,3.1682005950583054,4268
166,631.3347934918648,3.01370137047249,4794
167,607.3488420181968,2.9793476478798406,4836
168,566.2948588709677,3.031597612884444,3968
169,592.1007803790412,3.020836375851604,4485
170,586.9038161124749,2.9951036718877795,4481
171,608.8479112271541,3.0352262110412402,4596
172,565.4378874856487,2.9927511463446166,4355
173,596.4406968952424,3.0030972276312555,4477
174,592.129270544783,2.989989506729815,4332
175,605.694934418815,3.057291131693237,4422
176,596.0938244853738,2.882760456294787,4615
177,578.7654574492357,3.011638742750041,4383
178,564.3459897610921,2.9741516148297618,4688
179,558.5083973128599,3.149661575039689,4168
180,535.1411057136248,2.9675939399200986,4323
181,579.5934440187314,2.9484611162593457,4698
182,422.0931818181818,1.7889297768664147,4840
183,509.05546357615896,1.9834611036923344,4832
184,469.5331282051282,2.0222159933414017,4875
185,485.84425531914894,2.1643597961213064,4700
186,476.2173242230549,2.2018123432655328,4537
187,489.7884775374376,2.238805217440581,4808
188,465.7148117839607,2.2333823810367286,4888
189,496.78091570389387,2.5258979451013484,4674
190,496.39241684112585,2.4917418204051245,4299
191,511.3703241895262,2.423609165044708,4812
192,490.62534552413354,2.487902570752544,4703
193,497.1790707236842,2.5349558521280993,4864
194,529.9731557810188,2.7686078879265206,4731
195,551.2631244707875,2.7960687645881053,4724
196,543.7384382107657,2.8549131998740256,3957
197,553.3572664359862,2.7027239360927844,4624
198,550.111933982226,2.7665437499903125,4726
199,560.0263046245227,2.7166003036943596,4714
200,550.4179721496954,2.764377242547259,4596
201,546.1451369419883,2.8007096719561115,4637
202,547.6608937353004,2.8203215172717684,4677
203,522.4189862899875,2.6829098976353825,4814
204,541.2613528855251,3.0524945439325126,4228
205,536.3569631831695,2.848835639348745,4373
206,544.8667251205611,2.849523292276453,4562
207,540.8927768057986,2.926097423085144,4001
208,576.4822491730981,2.9178929759126166,4535
209,565.2881147540984,2.757659413101933,4880
210,547.9896209386281,2.902454719118302,4432
211,557.5636239471887,2.9452979392277445,4393
212,552.3087874324988,2.8755940046874655,4074
213,553.0066371681415,2.9940303302376616,4068
214,551.0746302106678,2.9314576584294216,4462
215,549.4474141677531,2.8747505982316834,4602
216,576.0465707027943,2.974837235699958,4724
217,556.7377372442692,2.957917291916061,4057
218,574.0900094250707,3.029913940565261,4244
219,590.8900328587075,3.059427477640895,4565
220,571.5360340196956,2.9581140734108695,4468
221,577.4007690664388,2.944558988599466,4681
222,590.3232462173315,3.0439996395755906,4362
223,573.9512654819601,3.1903859425405057,3714
224,575.1724730127576,3.1221184737685306,4076
225,606.0540190146932,2.9736323030345027,4628
226,583.603155911446,3.0248310901879982,4246
227,602.1504222780187,3.005354897934171,4381
228,610.9411632100991,2.9963763877279392,4436
229,592.9185574396943,3.0394774222477237,4187
230,610.4961737331954,2.9022693914570676,4835
231,603.3334914611006,3.0508375823373415,4216
232,609.2217147602242,2.8474753033449347,4817
233,596.7776200615093,3.031853894538114,4227
234,596.2890459363957,3.024886231634102,4245
235,610.544214876033,2.917522577165418,4840
236,573.1348837209302,3.053028687436288,3655
237,602.7282184655396,2.906770108048775,4614
238,581.8814880819782,2.9518180579426083,4489
239,591.2252972972973,2.9959467353463975,4625
240,578.1606826241135,3.0618857330539844,4512
241,615.2476926379052,2.9877061583158326,4659
242,571.5713544369486,3.114755488504049,3854
243,612.0874920365258,2.945377371881085,4709
244,583.8976545842218,2.858925221942968,4690
245,573.3470542835091,3.224774836617959,3887
246,555.7031045037166,2.8687892380768694,4574
247,566.9570498915401,2.97940878505464,4610
248,569.2647058823529,3.035813610949902,4692
249,558.5617585484996,3.0270837395790764,4299
250,596.4910519423833,3.051231201581746,4582
251,567.4207583859991,3.1248285906356075,4114
252,565.9903324687574,3.0126891786507586,4241
253,557.4832085561497,2.868126166132289,4675
254,541.7285239677266,3.040041270676021,4214
255,566.4839842035981,2.9723670034250786,4558
256,547.5273170731707,3.2577318264724715,4100
257,576.999170296619,2.960178823405437,4821
258,569.4973905150896,3.173019363261342,4407
259,590.0206442831216,3.0295527615830773,4408
260,582.0768865685809,3.045097429057889,4214
261,597.2688713156003,3.201034594981629,4173
262,601.6536956021183,3.073469515838172,4343
263,598.50140778977,3.0551756470857443,4262
264,612.6002205071665,2.9778494305447105,4535
265,600.5071428571429,3.1476019899555334,4200
266,596.6356400619059,2.957075619838966,4523
267,584.2047017076957,2.908891782554783,4509
268,587.3524239543726,3.0979373507787065,4208
269,571.3244745107514,3.09485983737645,4139
270,570.1126397248495,2.9599800661005764,4652
271,558.3463508322664,2.9541388450152106,4686
272,539.921875,3.0037383574974936,4416
273,580.6550951847704,3.0341222534854375,4465
274,569.0770480389882,3.127032552048941,4309
275,586.4366402667778,2.957575787225879,4798
276,562.7593475533249,3.146832541868545,3985
277,577.362511251125,3.05140176747165,4444
278,575.1482824834649,3.0335262125980957,4687
279,592.0346178967994,3.0547202852979227,4593
280,601.5981615233093,3.063692885873554,4569
281,567.9575633127995,3.0357450946786053,4383
282,592.3459704880818,3.1187293348983935,4405
283,595.7770807193643,3.0055342384699455,4782
284,600.9274310595065,2.971111444885876,4823
285,582.666851595007,3.279033468396075,3605
286,615.1419273567079,2.933060721948414,4763
287,589.5746998666074,2.9930803746043386,4498
288,583.4625392552714,3.008975377999993,4458
289,575.2433728856349,3.129218150063975,3961
290,573.3889756750725,3.0172853660203836,4481
291,553.4917993246503,3.0816043327368585,4146
292,576.6559022474362,2.937660187173603,4583
293,557.1303122289679,3.0360438273680885,4612
294,542.7484567901234,3.0913125868416236,3888
295,563.9865190178142,3.1246190310792388,4154
296,556.5197641406421,2.9025280828140754,4579
297,547.1806703397613,2.9541347608670168,4356
298,558.5837964942283,2.963656049805736,4678
299,538.0783345095272,3.065062103010815,4251
300,553.3300661602549,3.1496718481736234,4081
301,554.8266456266907,3.068957780027365,4436
302,570.6158301158301,3.010709032829205,4662
303,560.0899082568808,3.1062405856465167,4360
304,571.289740202554,3.0276925626263793,4542
305,582.4290763430726,3.206338311224582,4244
306,582.782701421801,3.136371251907676,4220
307,587.7988193624557,3.101820394167755,4235
308,580.8717780690258,2.8876474576104427,4578
309,592.7168866636322,3.045903012643681,4394
310,585.8765192027224,3.1948175732571076,4114
311,573.9844092570037,3.0454256256744374,4105
312,598.432852143482,2.929311486530094,4572
313,576.1600626818894,2.964530220775689,4467
314,589.5608301526718,3.100748254199237,4192
315,597.135436382755,2.9080605494312097,4755
316,592.2670025188917,3.2592965267513616,3970
317,588.4602771362587,3.0491650338264624,4330
318,581.390243902439,3.1460507107076405,4182
319,575.9026217228464,3.0759422200370246,4272
320,584.8155507559395,3.0114025294731355,4630
321,589.0906357388316,3.0512651779520685,4656
322,570.0304568527919,3.1516694916308086,3940
323,570.9283503927636,3.0270526540448435,4201
324,570.9888492417484,3.0371326242737844,4484
325,568.4272231543624,2.849766080542553,4768
326,569.703196347032,3.0183539551433243,4818
327,549.4383131449081,2.936148566606532,4458
328,561.1225194132874,2.9992030610655815,4636
329,556.900603708495,2.9935139536894937,4638
330,557.9375290292614,3.139448892739902,4306
331,577.7842397336293,3.189154462306229,4505
332,569.1937984496124,2.942911509053491,4644
333,564.5444145356662,3.096887200199873,4458
334,544.5562685093781,3.2189227988038462,4052
335,554.3862341078475,2.961335095797916,4562
336,541.6893890675241,2.949100153084441,4665
337,539.2943114430046,2.963452317470819,4553
338,528.6550868486353,3.0294317052693085,4030
339,579.198904709748,3.0984437588736697,4565
340,552.0121252204585,2.980101750366476,4536
341,564.8373621215677,3.190634500857867,4261
342,573.6035952984558,3.124509479119431,4339
343,566.4939733998337,2.909633071285555,4812
344,581.9668554646528,3.0917099627999245,4767
345,601.7997402035072,3.173688776624167,4619
346,588.2921760391198,3.255473576015868,4090
347,596.5990049751243,3.2115965025200257,4020
348,598.7301118379405,2.993393024497525,4739
349,578.7477638640429,3.130674636911639,4472
350,581.377491799142,3.208168134997307,3963
351,585.5191005802708,3.0975085275244547,4136
352,570.3296272073251,3.033569480116798,4587
353,602.3173198482933,3.0403641796763257,4746
354,614.3896648044692,3.2138954518022365,4296
355,594.7800729040097,3.173690452853312,4115
356,580.4990619136961,3.106407480713175,4264
