subject_id,eta,rho,q_d_n,q_d,q_s_n,q_s,cost_stop_error,inv_temp
NDAR_INVJLXMB8LP,0.12249895,0.7422188,0.9225849,0.97722316,0.027509486,0.6770154,1.5841067,42.416477
NDAR_INVNA7M4ME8,0.49243003,0.80297977,0.8433146,0.8322046,0.029346725,0.68093204,1.7751018,25.502748
NDAR_INVV4GUZKKA,1.532532,0.89720523,0.76685864,0.76801634,0.027777888,0.77317965,1.7485635,64.02726
NDAR_INVT6RAMNH2,2.912195,0.8448868,0.9244701,0.8724369,0.02041589,0.61046994,1.5944208,25.057915
NDAR_INVRFNPYVUU,1.5680461,0.8674833,0.8064764,0.84231305,0.017395986,0.6427321,1.8486707,38.832905
NDAR_INVWHXE421P,0.54543084,0.84011555,0.8311025,0.84801257,0.026253281,0.7359626,1.7024379,39.824463
NDAR_INVEWDP96RH,0.09373557,0.78754264,0.797419,0.8635499,0.020014435,0.8113451,1.7669947,24.957136
NDAR_INVGRUU9VE8,8.138803,0.65235925,0.40738854,0.68667346,0.035226226,0.8109796,1.9052379,94.30809
NDAR_INV4F95WY7X,0.22908887,0.26010403,0.90462834,0.8843136,0.033103496,0.648389,1.6253383,48.92042
NDAR_INVYJA9K9F8,2.1794972,0.73616743,0.8736605,0.8729661,0.04830639,0.8874105,1.5535465,54.313644
NDAR_INVGN54BJA4,0.4745942,0.52123374,0.8649752,0.73202986,0.052905526,0.61256695,1.7638873,27.680504
NDAR_INV987KVUCX,-0.20937903,0.51497,0.8414477,0.91040766,0.0461638,0.7028308,1.6418617,31.750443
NDAR_INVENJV9P26,-0.06867728,0.56193995,0.83999145,0.85496926,0.03539269,0.6451951,1.6916935,25.621004
NDAR_INVLM81WCFX,1.8118885,0.53989553,0.79409885,0.76790035,0.022876455,0.6470832,1.7486668,34.338108
NDAR_INVXECRNL56,-0.11486989,0.42961904,0.85052764,0.8913357,0.028367024,0.79244137,1.6751574,28.466764
NDAR_INVHZDNK5V8,0.5667091,0.11770531,0.9413161,1.6424954,0.038447686,0.90992427,1.7094097,64.56865
NDAR_INVMA9CKHR6,0.86936647,0.6747218,0.8402682,0.8581203,0.01717213,0.6649317,1.7755538,25.447748
NDAR_INVP205AX39,3.019551,0.80336225,0.9397145,0.92366517,0.02758842,0.66376865,1.6220231,46.42686
NDAR_INV2VY7YYNW,6.0567408,0.92161685,0.57307,0.74806917,0.029796617,0.64319503,1.8834736,85.91666
NDAR_INVVBUX926D,0.25969985,0.9095158,0.7827174,0.8472315,0.018881697,0.81908816,1.8104358,58.790306
NDAR_INV6471U3G7,0.27161923,0.4451162,0.8197657,0.84301484,0.033820763,0.6258253,1.7077311,15.9452
