subject_id,cost_go_error,cost_go_missing,cost_stop_error,cost_time,inv_temp,q_d,q_d_n,q_s,q_s_n,rate_stop_trial
INV0NXVE8CT,1.0,1.0,1.4551000120599442,0.001,84.7956142730713,0.6813867277503014,0.6093854317753575,0.8375680857002735,0.0817615311791742,0.1666666666666666
INV0P2ZCYPM,1.0,1.0,1.401858563834187,0.001,68.1971254749298,0.8246708800196647,0.866176259368658,0.8174970442652703,0.0297898496488209,0.1666666666666666
INV0P34UPZ9,1.0,1.0,1.868140736567916,0.001,93.199277885437,0.7538802032470703,0.5967705828463659,0.761001188904047,0.0339001298966513,0.1666666666666666
INV0P4FUMM3,1.0,1.0,1.1976635206743655,0.001,87.44798496818542,0.7050001403391362,0.6083729162393138,0.9431718408763408,0.0477606766472526,0.1666666666666666
INV0P96MUM9,1.0,1.0,0.6232956840084526,0.001,69.20235385513305,0.5813883055746555,0.0470973957123396,0.9508397099375724,0.4296962837835599,0.1666666666666666
INV0PHTY15N,1.0,1.0,1.7877486324597112,0.001,70.31004842376709,0.8963247478306293,0.6513069989308715,0.7396470934450626,0.069392331942643,0.1666666666666666
INV0PJ81CA5,1.0,1.0,1.5875250651085515,0.001,67.60896395301819,0.8009374161064625,0.6206867815083242,0.8476918286681175,0.0378449669329347,0.1666666666666666
INV0PR0WY8F,1.0,1.0,1.0478670024511585,0.001,59.33366459560394,0.7244376149177552,0.7108107566486579,0.6759453752338886,0.0353292844889505,0.1666666666666666
INV0PU19T4K,1.0,1.0,0.9559210928594968,0.001,54.09768856525421,0.657457200795412,0.4958029606316777,0.7438740576803684,0.0915344490139395,0.1666666666666666
INV0R696YJR,1.0,1.0,1.5270241841125238,0.001,29.742037464141845,0.8526704684197902,0.8618486655266024,0.6972565782666207,0.0512394220488276,0.1666666666666666
INV0RG4KBRB,1.0,1.0,1.0000402145817695,0.001,92.0749526462555,0.6327418344318867,0.1331233748703315,0.7695932601094246,0.1080108373994589,0.1666666666666666
INV0RHLKA9M,1.0,1.0,1.5788331054558475,0.001,88.3520763130188,0.758362171471119,0.668501921273768,0.7054174164533615,0.0504151823764814,0.1666666666666666
INV0RKF6F11,1.0,1.0,1.5754888344511164,0.001,37.17132952308655,0.7851517248749733,0.7554175801221281,0.7034563350975513,0.0340545158878294,0.1666666666666666
INV0RL1BGTN,1.0,1.0,1.6479943602837628,0.001,32.64870387268066,0.8138327488303184,0.878317830205895,0.8046500661671162,0.0429942977133214,0.1666666666666666
