index,mean,std,5%,50%,95%,subject_id,subject_year
cost_stop_error,0.51588043593294,0.27028349464374757,0.2637490980025842,0.4067067845138458,0.9792571920534059,SUB,005.csv
cost_time,0.0010000000000000002,2.28569887277129e-19,0.001,0.001,0.001,SUB,005.csv
cost_go_error,1.0,0.0,1.0,1.0,1.0,SUB,005.csv
cost_go_missing,1.0,0.0,1.0,1.0,1.0,SUB,005.csv
rate_stop_trial,0.16666666666666669,2.925694557147251e-17,0.16666666666666666,0.16666666666666666,0.16666666666666666,SUB,005.csv
q_d_n,0.3034546636044979,0.17834586675113223,0.08472408168017864,0.30164021253585815,0.5797541260719298,SUB,006.csv
q_d,0.7454308569431305,0.09729634442393004,0.5990198910236358,0.7496722638607025,0.8865477949380874,SUB,006.csv
q_s_n,0.6036418914794922,0.27337897352283835,0.1453448385000229,0.6716811656951904,0.8963910937309264,SUB,006.csv
q_s,0.6396456718444824,0.08993652888453442,0.533894494175911,0.6282182931900024,0.769335576891899,SUB,006.csv
inv_temp,88.33992996215821,7.863455383690591,75.59380950927735,89.50237655639648,97.26089706420898,SUB,006.csv
cost_stop_error,0.3692900280991353,0.12972691198341485,0.19102792233571414,0.3482348366207948,0.5226764522900917,SUB,006.csv
cost_time,0.0010000000000000002,2.28569887277129e-19,0.001,0.001,0.001,SUB,006.csv
cost_go_error,1.0,0.0,1.0,1.0,1.0,SUB,006.csv
cost_go_missing,1.0,0.0,1.0,1.0,1.0,SUB,006.csv
rate_stop_trial,0.16666666666666669,2.925694557147251e-17,0.16666666666666666,0.16666666666666666,0.16666666666666666,SUB,006.csv
q_d_n,0.46766607761383056,0.15141329893495795,0.2830715388059616,0.47269725799560547,0.679345405101776,SUB,007.csv
q_d,0.7385819554328918,0.16455577148910777,0.5485584437847137,0.7413053810596466,0.9354961454868316,SUB,007.csv
q_s_n,0.5264193199574947,0.3098308704002038,0.07682454846799373,0.5784968733787537,0.9017603069543837,SUB,007.csv
q_s,0.7310011148452759,0.09079877065015607,0.610976031422615,0.7276338040828705,0.8749967992305755,SUB,007.csv
inv_temp,85.07290840148926,12.189673040202155,65.157301902771,88.13840103149414,96.63498268127441,SUB,007.csv
cost_stop_error,0.4117738770630231,0.15034062917150579,0.23811609388362376,0.40045896472332276,0.63961637862087,SUB,007.csv
cost_time,0.0010000000000000002,2.28569887277129e-19,0.001,0.001,0.001,SUB,007.csv
cost_go_error,1.0,0.0,1.0,1.0,1.0,SUB,007.csv
cost_go_missing,1.0,0.0,1.0,1.0,1.0,SUB,007.csv
rate_stop_trial,0.16666666666666669,2.925694557147251e-17,0.16666666666666666,0.16666666666666666,0.16666666666666666,SUB,007.csv
q_d_n,0.45582422614097595,0.15704240590462815,0.25851042866706847,0.4304817020893097,0.6816500693559646,SUB,008.csv
q_d,0.8676947295665741,0.06541086361712314,0.7714925974607467,0.8609469830989838,0.9477336794137955,SUB,008.csv
q_s_n,0.6105168834328651,0.335234861411804,0.2030216433107853,0.6082132160663605,0.9632696986198426,SUB,008.csv
q_s,0.6692659854888916,0.06290485490934769,0.5805394619703292,0.664184957742691,0.7558786988258361,SUB,008.csv
inv_temp,83.82018508911133,11.011506227407963,67.05743789672852,87.03413391113281,95.32110290527343,SUB,008.csv
cost_stop_error,0.23099865763293384,0.058484987460789374,0.15149156790244153,0.2309009656167046,0.31234417061607656,SUB,008.csv
cost_time,0.0010000000000000002,2.28569887277129e-19,0.001,0.001,0.001,SUB,008.csv
cost_go_error,1.0,0.0,1.0,1.0,1.0,SUB,008.csv
cost_go_missing,1.0,0.0,1.0,1.0,1.0,SUB,008.csv
rate_stop_trial,0.16666666666666669,2.925694557147251e-17,0.16666666666666666,0.16666666666666666,0.16666666666666666,SUB,008.csv
q_d_n,0.41687422096729276,0.16022278102324602,0.23226620703935624,0.3667634576559067,0.6333440750837326,SUB,009.csv
q_d,0.8027714848518371,0.14290325451879263,0.6110540568828583,0.8316734731197357,0.9645982921123504,SUB,009.csv
q_s_n,0.4548580255359411,0.29878071902041137,0.053477327711880206,0.4416512995958328,0.8626003831624983,SUB,009.csv
q_s,0.7922584295272828,0.10514852608767358,0.6190055698156357,0.8125995695590973,0.9041347295045853,SUB,009.csv
inv_temp,84.59202842712402,11.741844784585304,67.7738561630249,83.7706069946289,98.24056816101074,SUB,009.csv
cost_stop_error,0.8016670029845617,0.4252340882562641,0.2210898198867561,0.7948426923160345,1.3846566538344713,SUB,009.csv
cost_time,0.0010000000000000002,2.28569887277129e-19,0.001,0.001,0.001,SUB,009.csv
cost_go_error,1.0,0.0,1.0,1.0,1.0,SUB,009.csv
cost_go_missing,1.0,0.0,1.0,1.0,1.0,SUB,009.csv
rate_stop_trial,0.16666666666666669,2.925694557147251e-17,0.16666666666666666,0.16666666666666666,0.16666666666666666,SUB,009.csv
q_d_n,0.3626165628433228,0.10333379053583465,0.21467096358537674,0.3529367744922638,0.4962884351611137,SUB,010.csv
q_d,0.8316667556762696,0.16368503505228754,0.6015716075897217,0.8794633448123932,0.9968294054269791,SUB,010.csv
q_s_n,0.2679737012833357,0.19882110156659913,0.06282100398093463,0.1750958189368248,0.5317891180515288,SUB,010.csv
