q_d_n,q_d,q_s_n,q_s,tau,inv_temp,cost_stop_error,cost_time,cost_go_error,cost_go_missing
0.12743044,0.7288782,0.043694496,0.842446,9.027653,62.065964,1.3094385,0.013119103,0.40188628,0.020097114
0.17833436,0.7201035,-0.004159212,0.9677974,8.489392,44.10886,0.5100885,0.0032652013,0.471785,0.035997562
0.1146543,0.701665,0.13658357,0.95072085,7.4380126,97.05763,1.2578262,0.01803126,1.0180825,0.64297193
0.062705755,0.70858735,0.09383881,0.8388982,8.435431,29.813913,1.5443132,0.015709994,0.9931599,0.2456198
0.06836617,0.7084853,0.084438086,0.84376264,7.7936025,41.972347,1.9407029,0.015679155,0.6824749,0.011848364
0.014702022,0.67785126,0.12962139,0.6968864,7.094411,51.959423,1.0563384,0.011334385,0.8280821,0.038423166
0.1737876,0.7073653,0.14671308,0.98019403,7.901556,51.554344,1.4294806,0.014986379,0.6753458,0.06871578
0.30165577,0.73075205,0.083774805,0.8876877,8.405149,75.40281,1.6986662,0.02379653,1.1880957,0.012075164
0.3843721,0.76238585,0.07787645,0.9051755,7.6573443,91.734406,2.1119425,0.035429653,1.7996455,0.015449209
0.2112174,0.7112436,0.004028797,0.969627,7.437214,90.79463,1.6511396,0.020740328,1.5380917,0.14632878
0.3041656,0.7668267,0.1430054,0.9579897,7.6866894,59.667984,1.5793865,0.011189679,0.34610844,0.011688664
0.40492642,0.8638838,0.062832355,0.97127366,8.154123,109.10527,0.58585405,0.0043952,0.30991063,0.022444768
0.16451311,0.75466835,0.055271745,0.870436,7.8473344,85.80889,1.5337713,0.014930296,0.578943,0.014036467
0.20254791,0.7440267,0.023608804,0.97360027,7.205694,95.42012,1.3946732,0.011784317,0.37372035,0.020640546
0.24172652,0.73068887,0.18320462,0.9890001,7.5665507,65.27744,0.5508115,0.0054467763,0.6486613,0.08503731
0.19704366,0.76680183,0.11323357,0.9120315,7.668149,56.013184,2.6069126,0.02389778,0.46792364,0.05550699
0.116749644,0.7089599,0.07138908,0.9829769,8.24651,41.71422,0.52234113,0.0031389142,0.5095924,0.025558833
0.59375405,0.83919334,0.013934374,0.98311126,8.994337,85.46882,0.73971885,0.008673993,0.4595547,0.018791415
0.21834946,0.73509,0.07377195,0.9401363,7.963571,56.210617,1.825472,0.023529915,1.1287323,0.014799591
0.27954972,0.7354804,0.043977737,0.8634306,7.978133,70.84013,0.98833084,0.013865278,1.1077414,0.19334248
0.067688465,0.72905797,0.0052554607,0.95386374,7.599297,37.47925,1.9387679,0.01621054,0.92727613,0.14762159
0.12784553,0.7050088,0.07294953,0.97939783,7.6069574,44.581444,0.422923,0.001972605,0.36573622,0.13426872
0.15868652,0.7126504,0.07909608,0.8747892,8.060832,65.97597,1.2572247,0.020791156,1.315255,0.22533628
0.4222741,0.75668097,0.002234459,0.91215277,8.604301,52.272125,1.0042304,0.011145757,0.66419077,0.033719018
0.24893403,0.70850116,0.03648162,0.9505408,8.469023,92.502525,0.53431267,0.009008252,0.6342841,0.08880814
0.802282,0.87812597,-0.0042880774,0.97245216,8.102715,81.0558,1.2572486,0.010057255,0.11825113,0.06282423
-0.036456704,0.6850989,0.03984785,0.9788543,7.4327617,64.68134,0.92791,0.009432714,0.5255899,0.08354749
0.39138356,0.7539511,0.13047874,0.8929573,8.05196,39.577255,1.7741008,0.016496986,0.9610851,0.017693847
0.5639829,0.7396436,0.0886482,0.9673424,7.4891505,99.55505,0.60663915,0.007037026,0.5464683,0.114027984
0.122252226,0.7270913,0.14089465,0.914078,7.7565985,43.43704,1.62695,0.021167727,1.540491,0.03240925
0.42920464,0.76220983,0.012810588,0.97878295,8.495269,47.75566,1.6988598,0.016055783,0.6875604,0.19161603
0.03127092,0.73236954,0.11652875,0.98142743,7.6940346,72.8259,1.1178324,0.012269239,0.8277106,0.01102149
0.109423876,0.71554434,0.027576089,0.7728251,8.404274,61.552597,1.8997145,0.019589853,0.6657943,0.06247798
0.24804306,0.7112158,0.016118169,0.93039995,7.9247174,69.85058,0.94797814,0.011191226,0.71741664,0.12349382
0.15471756,0.6865115,0.095867395,0.9363445,7.237378,75.48627,1.7468464,0.024212835,1.7799627,0.034518775
0.19590211,0.7113036,0.044972062,0.96238804,7.672045,54.71997,0.6984095,0.006631593,0.55803394,0.25767446
0.15589333,0.76567197,0.0135759115,0.78322554,8.320761,82.27369,0.828383,0.0068629337,0.4085674,0.039778445
0.24818301,0.76135993,0.06007254,0.993194,8.93354,63.93229,1.3734943,0.015202311,0.67962587,0.0122518465
0.85175467,0.9463951,0.09741974,0.9290323,8.798767,80.7177,1.0519652,0.00822214,0.1316976,0.13742875
0.13306451,0.7248881,0.018692255,0.95734453,8.399931,27.064182,1.8601028,0.022306982,1.4145066,0.010401012
0.5993074,0.8119716,0.08482146,0.9377867,8.108398,65.18351,2.0147502,0.025386464,1.4979129,0.73745394
0.23767924,0.7175389,0.09012091,0.9446884,8.047974,29.266188,1.8958902,0.02026388,1.1426198,0.027351035
