case,gt_q_d_n,mu_q_d_n,hit90_q_d_n,gt_q_d,mu_q_d,hit90_q_d,gt_q_s_n,mu_q_s_n,hit90_q_s_n,gt_q_s,mu_q_s,hit90_q_s,gt_tau,mu_tau,hit90_tau,gt_inv_temp,mu_inv_temp,hit90_inv_temp,gt_cost_stop_error,mu_cost_stop_error,hit90_cost_stop_error,gt_cost_time,mu_cost_time,hit90_cost_time,gt_cost_go_error,mu_cost_go_error,hit90_cost_go_error,gt_cost_go_missing,mu_cost_go_missing,hit90_cost_go_missing
26,0.5595913515470562,0.60114527,1.0,0.720149371039499,0.77603036,1.0,0.24421776261316175,0.47298464,1.0,0.7002579187991511,0.77117974,1.0,11.22179782766472,11.210852,1.0,17.39001034892658,34.05425,1.0,0.9532628104578443,0.10919902,0.0,0.02780192975130575,0.006794501,0.0,1.3206014362583036,0.5573313,1.0,0.1202759795167917,0.37247947,1.0
27,0.6919151855772632,0.5738312,1.0,0.511258471950681,0.5272672,1.0,0.2832355366845596,0.5698007,1.0,0.830081635552957,0.72468734,1.0,6.20690897725731,9.602751,1.0,30.147649916779017,59.331955,1.0,1.5465769173682438,2299.522,1.0,0.003361818761490019,0.0018316453,1.0,1.0483634262503045,1.3326043,1.0,0.029359913598343203,0.07929867,1.0
28,0.22369325294371467,0.35709357,1.0,0.7970022659701289,0.81572694,1.0,0.8674920040748434,0.505806,1.0,0.9874527449662865,0.73267,0.0,14.814168192716295,15.224346,1.0,92.44427984647702,59.741917,0.0,0.01494951881688937,0.049601853,1.0,0.0001073829203947205,0.00087744306,0.0,1.0767316462888148,1.237627,1.0,0.02832609547210083,0.45775807,1.0
29,0.166822403540136,0.6259042,1.0,0.5260901521903029,0.639115,1.0,0.32832254384611104,0.3849036,1.0,0.9148248628290068,0.8782319,1.0,12.30717051753439,12.296912,1.0,91.84690906016456,31.470331,0.0,0.05141064122429323,0.53467137,0.0,0.00016212594819051617,0.0048552845,0.0,0.014933029612108387,0.06526768,1.0,0.9633169732399252,0.41276348,1.0
30,0.9796840790186637,0.6149873,0.0,0.7304600852311707,0.69067746,1.0,0.738197697658653,0.5361358,1.0,0.8657002860466334,0.7631376,1.0,10.347187561724487,10.33358,1.0,41.78764592017831,74.933876,0.0,0.9234579313081364,0.48981884,1.0,0.04391558044087598,0.03805627,1.0,0.062404190773511954,0.114657074,1.0,0.04343772078967649,0.42136663,1.0
31,0.9673813030246541,0.6788814,1.0,0.8621602889292346,0.5848407,0.0,0.3305136412675308,0.39708862,1.0,0.9563065111972098,0.95943433,1.0,9.683890316571889,9.701764,1.0,14.808613915286928,32.98326,1.0,0.6607756767852501,0.64241964,1.0,0.0009883753920125423,0.0032232413,1.0,0.012480907069019151,0.1362938,1.0,1.1593854231148633,0.3745427,1.0
32,0.31251341328094795,0.17233105,1.0,0.7281305206394647,0.6884591,0.0,0.973431076299591,0.5709464,0.0,0.8888541179518298,0.6792848,1.0,15.08688965156767,15.165707,1.0,21.355868406173784,32.11144,1.0,0.062156321246141955,0.11529809,1.0,0.0021377932096102513,0.0060370876,1.0,0.663798758337619,0.8118198,1.0,0.01114275442028212,0.55964524,0.0
33,0.3185484394815209,0.5283765,1.0,0.7443364686119547,0.76143396,1.0,0.7952171049470269,0.5413146,1.0,0.7004938830378158,0.7122229,1.0,9.102471209482763,9.104287,1.0,54.83349767223595,31.889742,1.0,0.024481623367227066,0.13904108,1.0,0.0006100172889892232,0.002195983,1.0,0.04064920907624253,0.13715543,1.0,0.09126800867973349,0.38504553,1.0
34,0.384269621921446,0.3816076,1.0,0.9564985637166266,0.98413146,0.0,0.950626218416688,0.4989247,1.0,0.7894449780999827,0.758037,1.0,5.378688574934433,5.411331,1.0,17.356854746009336,65.94079,1.0,0.04817512954741801,0.07547397,1.0,0.014876006400510232,0.006063571,1.0,1.4926731339018677,0.88346165,1.0,1.0172361111978436,0.39001226,1.0
35,0.544118657280773,0.42493007,1.0,0.6950505888641643,0.68245196,1.0,0.2315693547127412,0.253412,1.0,0.7305661968491397,0.7755784,1.0,14.215328386777287,12.325165,0.0,26.316707031463633,62.076374,0.0,1.9466488550104586,1.1802424,0.0,0.00011775536229145545,0.0003804257,1.0,0.6266936629054174,0.7380437,1.0,0.015750520694277004,0.15874915,1.0
