case,gt_q_d_n,mu_q_d_n,hit90_q_d_n,gt_q_d,mu_q_d,hit90_q_d,gt_q_s,mu_q_s,hit90_q_s,gt_inv_temp,mu_inv_temp,hit90_inv_temp,gt_cost_stop_error,mu_cost_stop_error,hit90_cost_stop_error,gt_cost_time,mu_cost_time,hit90_cost_time,gt_cost_go_error,mu_cost_go_error,hit90_cost_go_error
69,0.18417722322331842,0.54917705,1.0,0.6301068672618197,0.6881898,1.0,0.9270256061341369,0.73116755,1.0,11.104879231765015,26.072922,1.0,0.2173483285996865,110926.336,1.0,0.008246765078368683,4.164834,1.0,0.06902964859123555,0.07729539,1.0
70,0.8043712011849458,0.7196151,1.0,0.5637051510562601,0.6338252,1.0,0.8948205338490274,0.68955886,1.0,14.464141614123623,110.2019,1.0,0.06487815681319507,0.10131101,1.0,0.00010134019246265588,0.0015203744,0.0,1.0601315018906128,0.82990444,1.0
71,0.09240771794828417,0.38651502,1.0,0.6093501751457933,0.7638988,1.0,0.8542167177385154,0.7042363,1.0,57.037224460906,36.759876,1.0,0.010531386270822283,0.3313045,0.0,0.0023286618005028585,0.01016471,1.0,0.08475946988224524,0.23261826,1.0
72,0.11318458393678854,0.25543636,1.0,0.755225678296759,0.77444446,1.0,0.9831173429581992,0.9498521,1.0,16.7648680794888,30.666533,1.0,0.19325211099730494,0.08671172,1.0,0.007311441190652309,0.009662677,1.0,0.5513719828701699,0.5455217,1.0
73,0.8704717664881025,0.6197682,1.0,0.6049457285535396,0.5872964,1.0,0.796672150131982,0.7704778,1.0,23.580612066543164,35.092323,1.0,1.4455276727300381,1.1556017,1.0,0.001941043905353443,0.0012113779,1.0,0.016872623950490696,0.08824501,1.0
74,0.43470223737777947,0.22223611,1.0,0.9343881316596327,0.8932472,1.0,0.7581386980322413,0.7049232,1.0,58.067771943752625,33.001648,1.0,0.040291640248515226,0.114607506,1.0,0.0015728906373152641,0.007760238,1.0,0.05190279281874751,0.17233376,1.0
75,0.021240377342929162,0.0705129,1.0,0.8159159879444087,0.8294447,1.0,0.7260591969250254,0.60032237,0.0,86.4055337743707,54.444218,1.0,0.08185971012448073,0.13511503,1.0,0.012167892817314436,0.025328284,1.0,0.38761762197646366,0.7670406,1.0
76,0.2606549099412514,0.28281292,1.0,0.8203618858841933,0.8971516,1.0,0.9550852165382175,0.9354641,1.0,61.502080148959685,41.89687,1.0,0.34823503708582526,0.7067,1.0,0.004910314920265187,0.0095066335,1.0,0.06539760832372792,0.11275555,1.0
77,0.7647992157725397,0.38568762,0.0,0.7837573130639907,0.67042327,1.0,0.8000518228759637,0.64644396,1.0,30.53437883702464,32.265583,1.0,0.06677400666304656,0.16880292,1.0,0.00010713892102955704,0.0010194111,0.0,0.17012138389967935,0.31436664,1.0
78,0.22981841722282315,0.49236506,1.0,0.7075156548964294,0.81657106,1.0,0.9566038597452812,0.77721995,0.0,40.55987926924785,33.012,1.0,0.08960025821620805,0.28354016,1.0,0.00047561921736436673,0.00085633225,1.0,0.13433119901155008,0.17118779,1.0
79,0.22671182444371518,0.14557126,1.0,0.7205334217821504,0.6933468,0.0,0.6092248468123653,0.585911,1.0,38.913256870675895,54.589264,1.0,0.760187972537976,0.5219424,1.0,0.0025766863520176727,0.0023590995,1.0,1.0699324350917354,1.1715328,1.0
80,0.9837256839003602,0.6115879,0.0,0.9679376016872998,0.6398442,0.0,0.7789569943872494,0.73226494,1.0,20.444224163991855,25.303074,1.0,0.0334482763448376,0.10200001,1.0,0.005631532073861584,0.009072051,1.0,0.01456025573992855,0.10001996,1.0
