case,gt_q_d_n,mu_q_d_n,hit90_q_d_n,gt_q_d,mu_q_d,hit90_q_d,gt_q_s_n,mu_q_s_n,hit90_q_s_n,gt_q_s,mu_q_s,hit90_q_s,gt_inv_temp,mu_inv_temp,hit90_inv_temp,gt_cost_stop_error,mu_cost_stop_error,hit90_cost_stop_error,gt_cost_time,mu_cost_time,hit90_cost_time,gt_cost_go_error,mu_cost_go_error,hit90_cost_go_error,gt_cost_go_missing,mu_cost_go_missing,hit90_cost_go_missing
64,0.27336294398573646,0.25347602,1.0,0.9482650732152631,0.8897176,1.0,0.39207538532951924,0.32953712,1.0,0.8316905274920813,0.7923052,1.0,64.62221414802104,33.873737,1.0,0.2603329531592765,0.7869069,1.0,0.00037763748637332687,0.0021733323,1.0,0.08193974978936096,0.3245412,1.0,0.012885946101938502,0.4545954,0.0
65,0.38327607789140583,0.27915227,1.0,0.949076539696913,0.9325635,1.0,0.07894806206221627,0.16602777,1.0,0.7309565936347335,0.8432504,0.0,29.45246115562944,41.23155,1.0,0.7418185562824541,0.56942713,1.0,0.003604612726276256,0.00214339,1.0,0.8317915232933896,0.8090129,1.0,0.04054910398312205,0.47462097,1.0
66,0.14393414535854987,0.37139,1.0,0.7824999319790906,0.8804573,1.0,0.27940846795617114,0.23757711,1.0,0.8374486776608501,0.9098988,1.0,16.862505576027917,33.726776,1.0,0.8682522849733716,0.3449757,0.0,0.008172539996804238,0.0023302727,0.0,0.09791716653194238,0.07886182,1.0,1.4087999047379705,0.37663403,1.0
67,0.545204462528952,0.47732133,1.0,0.6313470162442965,0.7462917,1.0,0.07933983198647954,0.56106204,1.0,0.6651949237758139,0.71954787,1.0,12.388306106521744,29.655191,1.0,0.18072456797770997,0.16354688,1.0,0.040991234885972394,0.0020874597,0.0,1.2599892943123308,0.1386369,0.0,0.05550397851395942,0.39405054,1.0
68,0.7123665294279594,0.2807549,0.0,0.9871897708630561,0.86287594,0.0,0.4933674568206714,0.5500542,1.0,0.5990894565886129,0.6339253,1.0,70.36846055660374,53.081,1.0,0.3054506803508724,0.87923133,1.0,0.00037292013756296953,0.0023248624,1.0,0.04014251668470359,0.107400626,1.0,0.1566894489262303,0.43674386,1.0
69,0.14543106352197488,0.17076638,1.0,0.670185023701183,0.6706881,1.0,0.9677762931607565,0.656968,1.0,0.5820175516782461,0.67964184,1.0,48.661250487370815,59.507477,1.0,0.27033324475599896,0.31452248,1.0,0.0017523169230711474,0.0042818063,1.0,0.7729561686764669,8363.702,1.0,1.0769886346452326,0.8866571,1.0
70,0.4960485710218372,0.44512707,1.0,0.7009589453932148,0.6291904,1.0,0.6152769499711691,0.5808638,1.0,0.9999410729545617,0.9749595,1.0,35.39104283142213,42.0981,1.0,0.49153292679543886,0.9888372,1.0,0.0001714823641121128,0.0022838444,0.0,0.018923838356385985,0.08494391,1.0,0.016803406309871143,0.365969,1.0
71,0.28643118963747627,0.53840834,1.0,0.5053162120955623,0.7046404,0.0,0.7261681301523154,0.54862124,1.0,0.5293309346515394,0.73793685,1.0,17.236870350102926,31.826805,1.0,0.1369839666753126,0.20803839,1.0,0.017095019124326167,0.018011123,1.0,0.5453871608160479,0.102529965,0.0,1.7736726045581146,0.4162538,0.0
72,0.6643791177629174,0.57334507,1.0,0.861612168049669,0.6606029,1.0,0.3610172502873289,0.52519214,1.0,0.9375415185770264,0.7498104,1.0,15.23341116904002,30.211348,1.0,0.015409530968747665,0.07787994,1.0,0.0004891413456904296,0.003313434,1.0,0.07471663425277036,0.33054596,1.0,0.06952375102902404,0.46625084,1.0
73,0.21270246613355903,0.10982515,1.0,0.5808379972426936,0.56893384,1.0,0.8144469148710854,0.5522864,1.0,0.8690802875146468,0.6976091,1.0,43.52339020667655,36.2961,1.0,0.3245772561129676,0.29860538,1.0,0.002054294581789882,0.0006619768,1.0,1.2540837194392993,1.2146112,1.0,0.07464343352740432,0.07004169,1.0
74,0.22126910713593606,0.41109216,1.0,0.8376961302000538,0.945869,0.0,0.878281525703843,0.7439997,0.0,0.7883483420725075,0.7656844,1.0,19.57753148338256,42.043774,1.0,1.3023471528824184,0.93948567,1.0,0.00025881109555597466,0.0005567118,1.0,0.8940654663870092,0.61794627,1.0,1.1825553668287605,0.83096164,1.0
75,0.42161060232193837,0.45640802,1.0,0.9305312718835121,0.9451504,1.0,0.5251477086449434,0.47813982,1.0,0.6634226798116718,0.71564496,0.0,91.66721974465737,33.472633,0.0,0.3500774344903573,0.85788625,1.0,0.0012171490297820775,0.0031018164,1.0,0.07345910647044457,0.50215644,0.0,0.08409580037964558,0.20899557,1.0
76,0.15579686483563882,0.2895516,1.0,0.9818898061545134,0.85186917,1.0,0.3509775069995834,0.5782042,1.0,0.9514685852065752,0.73373336,1.0,11.554072559595413,38.987186,1.0,0.014312247773828547,0.11171152,1.0,0.001683298001270281,0.007009669,1.0,0.04073933602621749,0.11616206,1.0,1.8541895812943003,0.38031477,0.0
