case,gt_q_d_n,mu_q_d_n,hit90_q_d_n,gt_q_d,mu_q_d,hit90_q_d,gt_q_s,mu_q_s,hit90_q_s,gt_tau,mu_tau,hit90_tau,gt_cost_go_missing,mu_cost_go_missing,hit90_cost_go_missing,gt_cost_stop_error,mu_cost_stop_error,hit90_cost_stop_error,gt_cost_time,mu_cost_time,hit90_cost_time
30,0.8838792624744454,0.894263,1.0,0.7948625348471705,0.8124145,1.0,0.5384017840977211,0.7491871,1.0,16,15.723955,1.0,0.035357526417444204,0.1270985,1.0,0.02565926593949638,0.2327449,1.0,0.01525699868539981,0.01611347,1.0
31,0.9934591243865326,0.8101,1.0,0.8016499002368929,0.5564335,0.0,0.767761812628412,0.7494083,1.0,8,6.932362,0.0,6.940642619980836,3.6870036,1.0,0.5906250774387098,0.79660964,1.0,0.0002925541936498517,0.00026299982,1.0
32,0.7529302957270181,0.6667551,0.0,0.8358117571215242,0.78847903,0.0,0.7754977301932504,0.7026189,1.0,6,6.121631,1.0,0.12879323928133496,1.6725676,1.0,0.986521392619761,0.7498451,1.0,0.03465136805268114,0.028725293,1.0
33,0.4966843551231147,0.56235844,1.0,0.9278878853188959,0.96177,0.0,0.8518472213918162,0.7287297,1.0,9,9.220962,1.0,0.055822637618001374,1.4504336,1.0,0.24610530094418293,0.056859676,0.0,0.010421122281055207,0.0036478185,0.0
34,0.38645147795127,0.3344997,1.0,0.7778458929218816,0.77680695,1.0,0.7454912844715362,0.71464443,1.0,12,12.509422,1.0,0.25518041171897965,1.7161218,1.0,0.029003600649877063,0.035136282,1.0,0.0013096948277580827,0.0009903082,1.0
35,0.881944486655327,0.88244826,1.0,0.9638570402869804,0.9674016,1.0,0.969523127170895,0.71645766,1.0,14,14.244154,1.0,0.012332151142226818,0.8746819,0.0,0.3725806412576054,0.88797,1.0,0.029007593610923962,0.033462875,1.0
36,0.6960316681146842,0.6198099,1.0,0.8339189188386872,0.8080243,1.0,0.619135007139664,0.6891691,1.0,8,7.843514,1.0,0.2871993001214416,0.7466311,1.0,0.011350952780838213,0.06414293,0.0,0.00021145080668369688,0.00064091187,1.0
37,0.281557102244664,0.23588544,1.0,0.6582341305810309,0.6835554,1.0,0.6095140805656739,0.74506176,0.0,4,4.131751,1.0,0.09427323431294599,0.05967823,1.0,1.5176235127610442,2.3068383,0.0,0.00019279174593789844,0.0017634893,1.0
38,0.726556551806704,0.67400867,1.0,0.9287908587535258,0.905537,1.0,0.9108417622395203,0.7932575,1.0,6,6.1617837,1.0,0.2912388654553155,1.4543604,1.0,0.012041038841014668,0.035211343,1.0,0.0008583865350238216,0.0013798646,1.0
39,0.9033354941853418,0.9232101,1.0,0.6320930392198969,0.671225,1.0,0.569300014150075,0.53896475,1.0,13,10.84589,0.0,0.01359163464855814,0.061437167,1.0,0.10654964350169843,1.1307883,1.0,0.00011393326201853017,0.00047452914,0.0
40,0.3728447273213702,0.31289405,1.0,0.9070101642638717,0.8788832,1.0,0.6817773562278737,0.7005823,1.0,12,12.116179,1.0,3.9766647905182837,1.5326173,1.0,0.08005626243796585,0.4110313,1.0,0.03572895730864915,0.03811335,1.0
41,0.524251673387671,0.36963958,1.0,0.607942729989561,0.6000256,1.0,0.8443037123266226,0.8176415,1.0,13,10.7842455,0.0,0.03301922646409055,0.05932987,1.0,0.4607100792753831,0.28022224,1.0,0.00417083777701572,0.0021694817,0.0
42,0.34400403317238704,0.36004627,1.0,0.9703724319138376,0.9603958,1.0,0.5626722510079687,0.65699536,1.0,6,6.1236134,1.0,0.17077472323908963,1.511006,1.0,0.13383736689145298,0.18512389,1.0,0.005887972206643117,0.012217827,1.0
43,0.6318981182787792,0.570541,1.0,0.7542244466339738,0.78622633,1.0,0.8167441798541157,0.8244246,1.0,12,12.25807,1.0,5.613513253636201,1.0492982,1.0,0.47378648172160776,0.47937208,1.0,0.009840153491014806,0.009158282,1.0
44,0.8023168953632432,0.88967204,1.0,0.5987019879526059,0.6283667,1.0,0.5396979627965411,0.5506427,1.0,15,14.416723,1.0,1.0381901165437142,2.7836509,1.0,2.6887228517979023,2.5281022,1.0,0.004820817821546478,0.003355548,1.0
45,0.8755174048753117,0.9212699,1.0,0.5845070396826133,0.6274369,1.0,0.7107017969915108,0.75497246,1.0,9,6.6780257,1.0,0.07883887396256965,0.06727409,1.0,4.165473011603877,3.2082138,1.0,0.0009654967011447516,0.0015455801,1.0
46,0.07531875591592652,0.14397986,1.0,0.792758669750335,0.8581292,0.0,0.8144757284956319,0.7199121,1.0,7,7.4137373,1.0,0.028993928205617362,1.0747805,1.0,0.044968739942568926,0.09960774,1.0,0.0020811615076155743,0.00075238745,1.0
47,0.969680955037998,0.9118098,1.0,0.8960136517043166,0.8152313,1.0,0.5060488320141822,0.7693358,0.0,9,8.316254,1.0,0.17806118764124437,0.22813526,1.0,0.010828298971202618,0.057219826,0.0,0.0034615596611696484,0.002399877,1.0
48,0.613289414903729,0.5509405,1.0,0.9406346299374998,0.8901096,1.0,0.5756330845933959,0.5550501,1.0,8,6.941543,1.0,0.9982122002167167,1.0832416,1.0,2.0035637527017354,2.7738373,1.0,0.006726184862464975,0.008856893,1.0
49,0.6716672856736274,0.59828955,1.0,0.5476366089950597,0.56207854,1.0,0.615112315945243,0.7029055,1.0,8,9.025677,1.0,0.015870017712945838,0.06634878,1.0,0.2849714988397965,3.53244,1.0,0.0009274325251978421,0.0021225014,1.0
50,0.6075910468365501,0.67594093,1.0,0.7452762201222523,0.7827075,1.0,0.5330723851593335,0.55319446,1.0,10,8.749257,1.0,0.014818271564741942,0.034764096,1.0,0.8800106086422065,0.8493257,1.0,0.002435084397859955,0.0014425328,1.0
51,0.05630004096365504,0.23730847,0.0,0.5381770647944177,0.53973997,1.0,0.5329524995641315,0.5823325,1.0,12,12.212615,1.0,2.1005098498922425,3.1754448,1.0,0.19773317734899554,0.11079128,1.0,0.0007228766606321176,0.00054012204,1.0
52,0.7629217216127079,0.7688735,1.0,0.7935990280333644,0.84940785,1.0,0.9060851929739031,0.977093,0.0,10,8.465846,0.0,0.036757797388572086,1.3713008,0.0,1.1295661783008697,2.8957815,0.0,0.00021989415640124178,0.0038741333,0.0
53,0.28531372872067917,0.19790533,1.0,0.8688232136126113,0.865226,1.0,0.8498385112446074,0.87790895,1.0,13,13.018315,1.0,0.14995184611628531,1.4879272,1.0,0.011736288325677519,0.029734874,1.0,0.0003834406409098606,0.0015148147,1.0
54,0.7656984210974285,0.52770174,1.0,0.6227608926543744,0.72379124,1.0,0.5776843573638012,0.8705945,0.0,13,10.966586,0.0,0.07303197973787165,1.0973275,0.0,4.719969900417856,10.259508,0.0,0.00014717121869378658,0.0009938853,1.0
55,0.2698445085342299,0.33087033,1.0,0.555091406237327,0.54979527,1.0,0.7440569100488528,0.7857478,1.0,6,4.7846823,0.0,3.1284918785935316,3.0971665,1.0,1.6086154599476739,1.970707,1.0,0.007863707822572001,0.008017847,1.0
56,0.35015905451322704,0.60536295,1.0,0.7732393002010753,0.5575691,1.0,0.5173402520187091,0.70174927,1.0,16,9.076251,0.0,0.013860229777958425,0.06886936,1.0,9.060926287427698,3.4788027,0.0,0.00018362110482180894,0.0022693255,1.0
57,0.5201230989081692,0.60402364,1.0,0.694568712543082,0.7127401,1.0,0.8680672853498477,0.7634009,1.0,5,5.055667,1.0,0.4182001116282971,1.4773928,1.0,0.024470653845471174,0.16188218,1.0,0.01886579182381284,0.017768431,1.0
