case,gt_q_d,mu_q_d,hit90_q_d,gt_q_s,mu_q_s,hit90_q_s,gt_tau,mu_tau,hit90_tau,gt_cost_stop_error,mu_cost_stop_error,hit90_cost_stop_error,gt_cost_go_error,mu_cost_go_error,hit90_cost_go_error
23,0.6273974259273161,0.75808245,1.0,0.5173310420960359,0.5482215,1.0,14,14.035995,1.0,10.095548835525314,12.501316,0.0,3.0060390545285887,2.2126646,1.0
24,0.6728244166363735,0.8345455,1.0,0.5420546602255087,0.7373477,0.0,11,10.632678,1.0,29.65150703473732,28.58166,1.0,9.201655371485357,17.272816,1.0
25,0.81273377376523,0.8687899,1.0,0.9316247322425733,0.9002097,1.0,8,8.323386,1.0,3.1123244350902537,3.2992744,1.0,2.6592074187977457,1.8420739,1.0
26,0.7539098850798924,0.852425,1.0,0.7929138850903731,0.8339283,1.0,10,9.150573,1.0,7.091321463643946,7.9966793,1.0,24.392367818544134,13.2280445,0.0
27,0.560086271117443,0.5393515,1.0,0.8853748360122647,0.8167657,1.0,10,6.6797357,0.0,2.7779443513565836,4.661969,0.0,1.299623785570452,1.3584902,1.0
28,0.8719690977058188,0.8909572,1.0,0.8747507791044409,0.8502448,1.0,11,10.34982,1.0,6.085840113100976,7.148747,0.0,6.073041087765539,5.414576,1.0
29,0.9619646923934813,0.8881227,1.0,0.5650367983078769,0.55829865,1.0,13,12.431012,1.0,4.788152821483463,5.6108155,1.0,1.1985111966366404,2.0204613,1.0
30,0.9679902428529947,0.8282209,0.0,0.7002108233315263,0.69501615,1.0,15,14.840742,1.0,12.070307137222311,13.843799,1.0,3.4528104233040375,5.04946,1.0
31,0.8113878893419697,0.82502013,1.0,0.8173194910729282,0.8325104,1.0,5,5.710861,1.0,2.9755351830722594,2.8741925,1.0,1.7198151075081543,1.5852014,1.0
32,0.9999843371187708,0.5925894,0.0,0.939125348930154,0.7807799,1.0,5,9.961603,0.0,41.47189114023569,24.365692,1.0,2.599350682267635,17.287941,1.0
33,0.6625728070381188,0.6916176,1.0,0.88049283500927,0.88121194,1.0,7,5.621199,0.0,3.440900749234998,4.797177,0.0,4.26216926417301,4.4227176,1.0
34,0.6725353088377026,0.7518656,1.0,0.9938129888734277,0.88917655,0.0,10,8.646537,0.0,13.131899580735622,14.365746,1.0,30.691217643451402,18.662245,1.0
35,0.5244409613186549,0.58039916,1.0,0.7493435245294131,0.79718816,1.0,14,11.089991,0.0,3.247049339311456,8.610543,1.0,5.672053201026287,15.281534,1.0
36,0.510238489419237,0.5226721,1.0,0.9232244959228546,0.7226309,1.0,11,5.5002055,0.0,1.1391182004497866,2.653103,0.0,3.5264804210248695,3.5224428,1.0
37,0.6720360609522567,0.7707194,1.0,0.9371331289897527,0.8375095,1.0,14,13.260746,1.0,19.140637939337832,22.468153,1.0,49.209010327959994,15.412483,0.0
38,0.7264344103251301,0.8744875,0.0,0.9360762893250811,0.8528836,1.0,16,14.821649,1.0,1.1605563492441275,3.3447359,0.0,9.0119991811876,6.4236903,0.0
39,0.502408841819113,0.59705985,1.0,0.5616427483027647,0.7832748,1.0,13,9.965832,1.0,3.4153132271024242,24.52475,1.0,3.7653438577015135,16.89571,1.0
