case,gt_q_d,mu_q_d,hit90_q_d,gt_q_s,mu_q_s,hit90_q_s,gt_tau,mu_tau,hit90_tau,gt_cost_stop_error,mu_cost_stop_error,hit90_cost_stop_error,gt_cost_go_error,mu_cost_go_error,hit90_cost_go_error,gt_cost_go_missing,mu_cost_go_missing,hit90_cost_go_missing
103,0.7062330333300922,0.72140163,1.0,0.6580789390322492,0.7247306,1.0,7,7.514833,1.0,19.421990777166194,16.933752,1.0,48.59144328512044,24.125887,1.0,27.654103836052943,17.948887,1.0
104,0.5638624698491533,0.56691843,1.0,0.6491988290176246,0.5903788,1.0,13,13.80547,1.0,2.8798478014684834,4.2936335,1.0,12.785140805771729,25.177336,0.0,14.7888299640284,23.592785,1.0
105,0.6233291285331419,0.6167003,1.0,0.928882318384032,0.83209825,1.0,8,7.779578,1.0,1.1897704910211022,2.164423,1.0,30.568867833921125,27.620403,1.0,11.26807443608226,10.728626,1.0
106,0.88104646269313,0.8131887,1.0,0.8548776622428627,0.8228621,1.0,6,7.801488,0.0,27.85426077942923,35.258335,1.0,15.81815851001557,13.748407,1.0,2.5680270997900605,6.5433397,1.0
107,0.6102160007007911,0.60675836,1.0,0.7903901213101305,0.69061196,1.0,9,9.082779,1.0,1.6452275787813084,1.892361,1.0,27.34049649096959,38.25259,1.0,12.435535743024383,18.56849,1.0
108,0.6275037434897577,0.7074879,1.0,0.7981218156084453,0.87696046,1.0,13,15.040621,0.0,43.48936903817168,36.967445,1.0,6.33928626381671,10.626582,1.0,5.808968548781199,14.066513,1.0
109,0.7712197273999057,0.8633943,1.0,0.9209248705044318,0.85763943,1.0,11,13.699297,0.0,43.401622521417686,33.110218,1.0,14.259843139514986,13.131296,1.0,15.184120266661038,15.279655,1.0
110,0.6818202120931611,0.68236,1.0,0.6525810615036287,0.70778745,1.0,7,7.597917,1.0,36.04325093924329,37.287376,1.0,1.3024751533501446,11.306612,1.0,3.394952723623187,10.888403,0.0
111,0.9236113083905473,0.9521798,1.0,0.5620299347400024,0.5262327,1.0,8,7.9123254,1.0,2.8705187653209374,2.960266,1.0,1.897516982032087,3.7969491,1.0,14.370664546835298,12.102946,1.0
112,0.8133757419028715,0.8483465,1.0,0.7342475705780365,0.67730707,0.0,7,7.419509,1.0,2.9974892662375496,2.9846964,1.0,1.8397305278140808,3.7229903,1.0,38.965495468101686,17.750687,0.0
113,0.6634746236060819,0.6512402,1.0,0.8167252210032568,0.7091633,0.0,9,9.271964,1.0,1.7556514069538895,1.7516922,1.0,3.337325847408336,3.3253949,1.0,44.123348558680384,8.959203,0.0
114,0.7847812667850754,0.8698716,1.0,0.9971713628541078,0.90224725,0.0,10,9.068873,1.0,5.765133400140988,6.928182,0.0,3.860302255407081,3.395226,1.0,36.17209742516712,13.629685,1.0
115,0.666307084745779,0.7934539,0.0,0.7101207267523032,0.75876766,1.0,11,11.511018,1.0,9.352931036238735,11.431838,0.0,41.653284125985365,20.162434,1.0,4.5228858481058705,4.12024,1.0
116,0.8292945506012318,0.8302571,1.0,0.6840824503323953,0.680118,1.0,7,8.164521,1.0,32.90370588862966,35.51122,1.0,13.69090148283451,13.362872,1.0,1.7733069059963975,3.4093287,1.0
117,0.6485851627319741,0.6418886,1.0,0.7737638298202184,0.72655946,1.0,15,15.25762,1.0,2.088399084711709,2.708582,1.0,1.9199994859454932,2.652601,1.0,4.9444280433147805,7.7216005,1.0
118,0.5052981192707047,0.50199217,1.0,0.9913090271898142,0.9102462,1.0,15,12.5225115,0.0,1.1031316082255862,2.2351933,1.0,1.117230311855114,10.136458,0.0,2.74431099563709,12.307639,1.0
119,0.6634942549012556,0.64421976,1.0,0.6802573804101202,0.7064846,1.0,8,8.732869,1.0,1.349809160534553,1.2571868,1.0,1.1553531114717293,1.5298177,1.0,1.4795640383654456,6.427275,1.0
120,0.6057111829031847,0.60518533,1.0,0.670483311641701,0.6925681,1.0,9,10.053923,0.0,3.4863864377252702,2.8519068,1.0,35.336715900618636,34.637558,1.0,8.086985650042015,5.7173047,1.0
121,0.5469947325141622,0.5492705,1.0,0.7234261609621371,0.7136975,1.0,10,10.410913,1.0,1.5686295992800101,2.1472826,1.0,13.210238479506968,14.499277,1.0,7.179360161123162,19.591246,1.0
122,0.6303409563148805,0.64754224,1.0,0.5144861788801052,0.6513733,1.0,10,10.467728,1.0,9.853004063782198,9.167933,1.0,19.571759299265626,19.267794,1.0,1.969010532066826,2.0674365,1.0
123,0.7445507717738333,0.71832937,1.0,0.9870830972366834,0.8356577,0.0,15,14.930826,1.0,15.54644807411772,13.049733,1.0,19.457650394881675,25.079378,1.0,1.0030474748550071,2.028581,1.0
124,0.5748008273088832,0.5543943,0.0,0.7757401419198786,0.7673275,1.0,7,6.7185373,1.0,1.7176086009764133,1.8469986,1.0,1.8459264306513221,3.5031495,0.0,1.794379330714933,11.386185,1.0
125,0.9303728465702246,0.88896555,1.0,0.9117657697545398,0.79415226,1.0,5,5.8342752,1.0,17.452939395502217,21.40187,1.0,19.632148558667733,22.182354,1.0,2.6544360135729335,6.14721,1.0
126,0.8607793116931086,0.8559639,1.0,0.5613520933941774,0.62520826,1.0,10,10.095973,1.0,41.30615395932057,37.68471,1.0,1.1976937005253825,20.208755,0.0,1.9554185401997577,2.9800327,1.0
127,0.5605717833254122,0.55196273,1.0,0.6137702271550156,0.73475134,1.0,7,7.607731,1.0,2.732484284781139,8.501934,1.0,45.57861817489941,18.110977,0.0,6.828799906031353,3.5698051,1.0
128,0.9704321149915645,0.8720306,1.0,0.9500860792409445,0.88262254,1.0,11,12.417326,0.0,13.349909700402392,13.056959,1.0,2.8740885448670914,12.959565,1.0,4.216108602986577,10.343419,1.0
129,0.8371159133636157,0.90109766,1.0,0.8876593709088261,0.83443135,1.0,8,8.06717,1.0,6.785411621274363,7.780306,0.0,8.81261728913234,6.870241,1.0,13.758834348300011,10.408064,1.0
