case,gt_q_d,mu_q_d,hit90_q_d,gt_q_s,mu_q_s,hit90_q_s,gt_tau,mu_tau,hit90_tau,gt_cost_stop_error,mu_cost_stop_error,hit90_cost_stop_error,gt_cost_go_missing,mu_cost_go_missing,hit90_cost_go_missing,gt_cost_time,mu_cost_time,hit90_cost_time
61,0.5181477164965967,0.5299418,1.0,0.6549680835385774,0.72036874,1.0,15,14.951492,1.0,2.486481112791899,13.271142,1.0,15.42281411222587,12.7230625,1.0,0.3721644563602486,0.35764995,1.0
62,0.8533768622171931,0.78832924,0.0,0.9254093085146975,0.87195617,1.0,6,5.6997385,1.0,8.172525383905203,5.3494387,1.0,5.488899575231557,11.092271,1.0,0.08237730066884517,0.05788814,1.0
63,0.876255537122018,0.8658137,1.0,0.6310440895153289,0.55814785,1.0,14,14.054973,1.0,1.354562026540939,2.337732,1.0,16.427720844199055,15.89156,1.0,0.04977870255406557,0.059284274,1.0
64,0.8407803902571508,0.81413037,1.0,0.9285733165036651,0.7318075,1.0,13,12.863108,1.0,8.566830945079356,6.126449,1.0,35.62702461479861,11.080119,1.0,0.45379981904443123,0.3626804,1.0
65,0.7994576044523678,0.8313915,1.0,0.5692237462232765,0.5781387,1.0,5,4.3241515,1.0,20.16841749268795,21.794859,1.0,15.827053731398236,16.216858,1.0,0.06667891430760904,0.061373945,1.0
66,0.9121578697111589,0.8597999,0.0,0.6240712948627456,0.6096481,1.0,5,4.9271274,1.0,2.5253130280455225,2.0079997,1.0,13.062569510873162,11.07803,1.0,0.03824863709042113,0.05529258,1.0
67,0.5714853263148991,0.5643341,1.0,0.6561794821620075,0.7149745,1.0,15,13.716667,1.0,5.97138341682193,8.042075,0.0,8.821304642038712,19.890387,1.0,0.011536203158106597,0.015981065,1.0
68,0.8437747567536746,0.8221735,1.0,0.5988942924369651,0.5654001,1.0,15,15.058851,1.0,3.496823039632533,3.5176165,1.0,14.012567348134395,11.456256,1.0,0.1256096078102227,0.13303588,1.0
69,0.9069915888797568,0.87887985,1.0,0.8764003069515642,0.89281136,1.0,14,13.839896,1.0,1.0620864381552948,1.9844187,0.0,14.925056138580901,12.741247,1.0,0.11480872174389796,0.12875538,1.0
70,0.5287308309296539,0.553736,1.0,0.8947946365054988,0.8975538,1.0,8,8.510114,1.0,19.125140307400237,23.471767,1.0,4.371889071775845,11.122535,1.0,0.24981384908967275,0.3296624,1.0
71,0.6400226127048888,0.6311777,1.0,0.7431914349039686,0.85285556,0.0,8,6.801998,1.0,2.3131633847065105,3.122207,1.0,2.7746867566157163,10.95464,1.0,0.0282561470663397,0.0328449,1.0
