case,gt_q_d,mu_q_d,hit90_q_d,gt_q_s,mu_q_s,hit90_q_s,gt_tau,mu_tau,hit90_tau,gt_inv_temp,mu_inv_temp,hit90_inv_temp,gt_cost_stop_error,mu_cost_stop_error,hit90_cost_stop_error,gt_cost_time,mu_cost_time,hit90_cost_time
79,0.5252831488271621,0.7289396,1.0,0.9161991455400912,0.8572335,1.0,14,10.381074,1.0,85.49288733333698,67.95867,1.0,10.529264184343123,32.46345,0.0,0.020133568331927382,0.051433124,1.0
80,0.9511909648944847,0.9638651,1.0,0.8486547523624646,0.80925536,1.0,7,6.8998165,1.0,60.69417386349709,72.16719,1.0,30.511126229654476,22.129276,1.0,0.20296934879004178,0.1311969,1.0
81,0.9772167849651769,0.8221079,1.0,0.5259170834903493,0.53095824,1.0,7,6.5673084,1.0,98.7847069248639,71.08134,0.0,43.89127943081073,43.450733,1.0,0.11295940750894186,0.10296012,1.0
82,0.925827415274656,0.75924355,1.0,0.8292431540184109,0.7925414,1.0,14,12.446724,0.0,26.461557236252595,66.60158,0.0,37.9485978916734,30.937408,1.0,0.0321499469627679,0.046930276,1.0
83,0.7124606259943749,0.7264531,1.0,0.5128570994339228,0.52951515,1.0,13,11.819866,0.0,31.563172720678814,45.15027,1.0,2.4459484970095002,2.7778573,1.0,0.016785091080561292,0.014936368,1.0
84,0.9332520152795445,0.93414736,1.0,0.5996400356976122,0.595326,1.0,11,9.894211,1.0,70.66742308272423,55.92629,1.0,9.711586614913607,12.939712,1.0,0.05269837670899337,0.058695436,1.0
85,0.7358596005448637,0.72734827,1.0,0.9866763738858928,0.8665863,1.0,12,10.538926,1.0,65.77328744824283,68.46807,1.0,46.125413512915685,33.382507,1.0,0.017920786506931633,0.053331558,1.0
86,0.9356684040335355,0.77162564,1.0,0.9859088087279334,0.88127875,0.0,7,6.0752187,1.0,15.132074907690459,41.668022,1.0,37.363668472249856,27.390024,1.0,0.037144676189940336,0.050091073,1.0
87,0.8815863437485268,0.8609116,1.0,0.8751455028985435,0.7090317,1.0,6,5.90442,1.0,63.246943694596105,59.747242,1.0,1.468021772627239,5.3965855,1.0,0.2899731988920485,0.34472787,1.0
88,0.7553289938864911,0.7605692,1.0,0.859625697869806,0.8438073,1.0,15,15.05039,1.0,49.46275766985457,56.55698,1.0,12.46838931270708,15.277061,1.0,0.2657805243386052,0.29650095,1.0
89,0.7131128049611438,0.6857124,1.0,0.8624467666301098,0.69245094,1.0,13,12.991828,1.0,12.363005134939577,63.070515,0.0,14.067261926924637,13.328789,1.0,0.46961779785701385,0.40797037,1.0
90,0.5305901094945797,0.5843457,0.0,0.5285592834008147,0.7060926,1.0,4,4.1949525,1.0,58.430223717659885,59.52517,1.0,2.258663186186672,8.008592,1.0,0.3258697885377482,0.34135354,1.0
