case,gt_q_d,mu_q_d,hit90_q_d,gt_q_s,mu_q_s,hit90_q_s,gt_tau,mu_tau,hit90_tau,gt_cost_stop_error,mu_cost_stop_error,hit90_cost_stop_error,gt_cost_go_error,mu_cost_go_error,hit90_cost_go_error,gt_cost_go_missing,mu_cost_go_missing,hit90_cost_go_missing,gt_cost_time,mu_cost_time,hit90_cost_time
49,0.8358336428368137,0.81456137,1.0,0.5476366089950597,0.57003945,1.0,7,6.81907,1.0,4.293461829850877,4.228214,1.0,1.2989477098178686,3.261792,0.0,6.666348217854138,11.477199,1.0,0.040634310248276045,0.097116,1.0
50,0.803795523418275,0.77814937,1.0,0.7452762201222523,0.7398375,1.0,5,4.635901,1.0,7.410975020311953,3.4091733,1.0,1.2494723152307294,2.0075605,1.0,12.624345633965715,14.890146,1.0,0.07460953511567188,0.035411213,1.0
51,0.5281500204818275,0.54215205,1.0,0.5381770647944177,0.83337843,0.0,5,4.9631968,1.0,11.625619896829594,18.354498,1.0,20.662681491250037,18.08816,1.0,5.420010028272394,4.495238,1.0,0.034735283950714485,0.06815724,1.0
52,0.8814608608063539,0.87317127,1.0,0.7935990280333644,0.7823731,1.0,14,14.044189,1.0,6.974202101709468,10.562403,1.0,2.0901170239561946,3.271278,1.0,14.541586422919261,21.843906,1.0,0.016421752727373725,0.045665443,1.0
53,0.6426568643603396,0.7016317,1.0,0.8688232136126113,0.8427146,1.0,12,11.981397,1.0,18.734174745718775,21.046305,1.0,4.634137914454276,20.797327,1.0,1.0949061563717644,2.9207833,1.0,0.02330403604680565,0.03936039,1.0
54,0.8828492105487142,0.84962326,1.0,0.6227608926543744,0.59013134,1.0,6,5.3462462,1.0,18.643548922448993,25.097708,1.0,3.0833839217492858,4.3403573,1.0,32.682418076601245,23.358082,1.0,0.012753886304787338,0.022191584,1.0
55,0.6349222542671149,0.63394934,1.0,0.555091406237327,0.56670374,1.0,10,9.263603,1.0,1.6584210437099847,9.435362,1.0,25.892051171507394,26.746168,1.0,17.765007272183283,35.604805,1.0,0.15605411494952134,0.20501019,1.0
56,0.6750795272566135,0.7130963,1.0,0.7732393002010753,0.77864003,1.0,4,4.740404,1.0,47.17017445766132,39.2614,1.0,1.2030617047835526,12.541844,0.0,47.28417835801788,13.586897,0.0,0.014660074688883027,0.032841235,1.0
57,0.7600615494540846,0.77348864,1.0,0.694568712543082,0.70535415,1.0,13,13.169918,1.0,1.448754021290545,3.857127,1.0,8.283763199590874,13.42577,1.0,1.659965482348027,7.0417233,1.0,0.27071404059466897,0.32968822,1.0
58,0.9583679838175456,0.87211597,1.0,0.8588105307803302,0.9058754,1.0,10,8.979463,1.0,10.978766634398605,12.033828,1.0,1.2296933733556201,3.0685983,1.0,4.354305807636498,11.290213,1.0,0.03589700376009849,0.051601846,1.0
