case,gt_tau,mu_tau,hit90_tau,gt_cost_stop_error,mu_cost_stop_error,hit90_cost_stop_error,gt_cost_go_error,mu_cost_go_error,hit90_cost_go_error,gt_cost_go_missing,mu_cost_go_missing,hit90_cost_go_missing,gt_cost_time,mu_cost_time,hit90_cost_time
39,4,4.1494823,1.0,1.6197886843171143,1.8749416,1.0,18.717980070221106,17.978228,1.0,3.4153132271024242,3.0593243,1.0,0.037653438577015134,0.03805158,1.0
40,13,13.001069,1.0,2.9496246460625692,3.5759435,1.0,8.785166745978643,9.881968,1.0,15.112631793592683,11.552362,1.0,0.31278468808162374,0.3571311,1.0
41,9,9.015606,1.0,3.0032155735690913,4.0278153,1.0,1.1874877152500158,2.2910113,1.0,1.2977825383192965,13.721168,1.0,0.08079483606267747,0.116637796,1.0
42,16,15.312936,0.0,23.00239132559254,26.959682,1.0,18.837869664935976,13.826795,1.0,2.343769542376292,2.5121913,1.0,0.026389846043885733,0.055864472,1.0
43,4,4.1525507,1.0,11.44444569911443,15.984841,1.0,28.116212247710134,32.655228,1.0,32.823925034687555,31.485573,1.0,0.1719892777847232,0.24177718,1.0
44,13,12.947821,1.0,1.9721805981552947,2.87832,1.0,1.1918857842115436,3.231373,1.0,1.9499945797914733,13.171534,1.0,0.13075103875084906,0.19828191,1.0
45,10,10.022553,1.0,2.0140165441039186,4.946363,1.0,7.813089435210868,11.525059,1.0,2.9513237886986046,11.698513,1.0,0.2611092255666212,0.3935774,1.0
46,13,12.564869,1.0,18.910074399702175,20.237907,1.0,19.458494836764263,18.272902,1.0,1.8802149203695273,2.0455604,1.0,0.03168072117070432,0.042556148,1.0
47,13,12.955902,1.0,9.909735353154248,18.276148,0.0,16.252995090935237,25.172464,1.0,27.17887863977113,13.314729,1.0,0.21894625689439134,0.3932074,0.0
48,7,6.2017646,0.0,4.1975312295411005,5.2466893,1.0,1.003661614458991,1.4231817,1.0,1.5032803787285929,10.197776,1.0,0.024556956321729242,0.03484552,1.0
