case,gt_q_d,mu_q_d,hit90_q_d,gt_q_s,mu_q_s,hit90_q_s,gt_tau,mu_tau,hit90_tau,gt_inv_temp,mu_inv_temp,hit90_inv_temp,gt_cost_stop_error,mu_cost_stop_error,hit90_cost_stop_error,gt_cost_go_error,mu_cost_go_error,hit90_cost_go_error,gt_cost_go_missing,mu_cost_go_missing,hit90_cost_go_missing,gt_cost_time,mu_cost_time,hit90_cost_time
67,0.786770693860765,0.85039735,1.0,0.7415476775616063,0.8756291,0.0,5,5.0395513,1.0,32.01785034500382,34.51021,1.0,19.739401719609624,22.866283,1.0,43.0677789389485,12.907432,0.0,3.5256120001908746,5.8781962,1.0,0.012719142558882344,0.035488516,1.0
68,0.6387059296300003,0.6386435,1.0,0.70024193066077,0.68179077,1.0,14,12.211303,0.0,14.630460781888681,44.70115,1.0,15.875213364580258,6.0463233,1.0,26.514408779913516,10.014486,1.0,12.977202614127023,14.3015375,1.0,0.2222908879099128,0.053232152,0.0
69,0.5692565006226362,0.5719837,1.0,0.6100123711381483,0.5798513,1.0,5,4.7557425,1.0,41.732356566390706,59.679813,1.0,9.737888854730324,3.8604891,1.0,44.8134674617602,23.325415,0.0,46.18079693132705,27.355042,1.0,0.2945447503827354,0.13518177,0.0
70,0.8243997113009214,0.8113513,1.0,0.6170370771278173,0.71851957,1.0,8,8.283787,1.0,33.50080728563556,50.985126,1.0,2.5579846528119785,7.4694667,1.0,1.5360973206314283,2.7032797,1.0,1.7275506753665046,12.786653,1.0,0.22510628107965247,0.25755802,1.0
71,0.7898462833859147,0.80698967,1.0,0.6697557830304539,0.59225243,1.0,7,7.4991326,1.0,44.94548763406062,45.274563,1.0,1.1044484024730734,3.2178364,1.0,12.241755298030885,18.829113,1.0,34.87960532740073,16.229548,1.0,0.04313480715021606,0.083653286,1.0
72,0.890125821502462,0.89172155,1.0,0.8319015683661886,0.92025,0.0,8,7.112969,1.0,59.43519427735453,51.15469,1.0,17.924134361527955,17.79307,1.0,18.9860105175235,10.058508,1.0,1.4484507102413602,11.555753,1.0,0.12265397158981914,0.1272418,1.0
73,0.8328391714558143,0.862044,1.0,0.8569298423265189,0.8857829,1.0,5,5.4907036,1.0,36.785146807732644,45.56725,1.0,17.968161571830517,21.313032,1.0,2.867596300170297,3.0205274,1.0,1.3967939603128854,15.104654,1.0,0.16611654347275287,0.21031131,1.0
74,0.9441660057717614,0.9490189,1.0,0.792975289267991,0.73980224,1.0,10,10.458442,1.0,82.6143120358333,58.11442,1.0,11.726365429602978,15.368903,1.0,6.505981653050303,2.913433,1.0,6.176327601540033,13.1759615,1.0,0.2943413804348052,0.31766018,1.0
75,0.6389439712420908,0.6215218,1.0,0.5257313875437244,0.56452227,1.0,15,13.168205,0.0,58.31396314111609,68.36508,1.0,1.416209475000734,4.1791143,1.0,11.829313118641775,26.912294,1.0,9.288240106132347,29.418274,0.0,0.027130953291251397,0.047811516,1.0
76,0.6392246335048684,0.6955453,0.0,0.6582977257504474,0.7009975,1.0,14,14.804009,0.0,86.6538138927769,58.212406,1.0,18.11955950789343,9.510552,1.0,1.5477821600177324,1.8004942,1.0,1.1854251255508796,13.798465,1.0,0.3916782124387127,0.32954493,1.0
77,0.7677056695198048,0.7821921,1.0,0.5406690595644736,0.6062831,1.0,10,10.214336,1.0,12.856770254362008,57.148304,0.0,6.662835702658616,3.6402876,1.0,9.056283257435089,7.843667,1.0,18.935173421526546,13.325619,1.0,0.43848011236274487,0.2875094,1.0
78,0.7070443447604722,0.8511126,1.0,0.7636228187153544,0.841776,1.0,10,9.6825485,1.0,21.810207015260417,37.302547,1.0,20.848888641036005,17.836641,1.0,29.878123737232603,16.72211,1.0,1.2844654843854708,3.079041,1.0,0.03821856579809132,0.04140448,1.0
79,0.955392859507173,0.9517714,1.0,0.6563418350584718,0.71196216,1.0,5,5.0343966,1.0,93.79392812956448,54.980843,0.0,1.8893919367453138,9.553262,1.0,1.0860179653490194,2.8729393,1.0,12.991240523107647,12.998045,1.0,0.1027777114431713,0.31665552,0.0
80,0.9768892689923946,0.74177927,0.0,0.9808292595875898,0.94685096,1.0,9,7.368097,1.0,52.35394388302957,37.895897,1.0,8.972835832253772,27.011805,1.0,2.2634727529879637,12.968098,1.0,1.0053754859316284,5.4420223,0.0,0.013502644016218179,0.07705167,1.0
81,0.9965857238340913,0.9612534,1.0,0.673316808926937,0.56476635,0.0,14,10.752115,1.0,62.10669448558628,66.80753,1.0,1.236550290454355,8.319635,0.0,41.42834359566276,30.43059,1.0,34.03732102622145,7.845762,0.0,0.07601794884629734,0.112397805,1.0
82,0.7412491119090677,0.7390039,1.0,0.6141519283328807,0.78036934,1.0,4,4.3203936,1.0,28.33897591779718,44.844727,1.0,1.4787701807226197,5.0469637,1.0,1.0642367828806527,3.6573906,0.0,2.497840225153848,12.2418165,1.0,0.12410827739946415,0.24681269,1.0
83,0.7369174320114937,0.8468473,1.0,0.9913297441696924,0.93428177,1.0,5,5.9253693,1.0,76.40505958307544,24.14753,0.0,15.356839315494993,17.442781,1.0,2.656796436728336,4.610303,1.0,1.219921084352759,4.23154,1.0,0.148485155230935,0.078264706,1.0
84,0.9453736419237269,0.94997376,1.0,0.7735891557618425,0.70740455,1.0,12,12.820846,0.0,32.77469931324577,53.69694,1.0,2.3697213778476858,3.574661,1.0,20.985132152037206,18.798014,1.0,7.26892348002222,12.3260565,1.0,0.36349807360648373,0.2514439,1.0
85,0.8155452750846974,0.81672,1.0,0.6814974210741636,0.7506398,1.0,8,7.759198,1.0,36.55028802190277,67.96851,1.0,4.513681190263025,13.74436,1.0,13.186471867543364,10.452145,1.0,2.3671392629463055,24.371338,0.0,0.10814971655975464,0.21395215,1.0
86,0.627405483047627,0.63220453,1.0,0.8246821197625057,0.8706567,1.0,6,4.664304,0.0,33.45469659364641,55.759304,1.0,27.29522311468799,12.246567,0.0,12.518499378454733,9.658805,1.0,35.24527911195389,30.678673,1.0,0.12347849679008889,0.038296364,0.0
87,0.945848669892239,0.9194583,1.0,0.7367862195797821,0.63872427,0.0,10,8.434863,0.0,53.028118934617154,53.266422,1.0,6.015213729632746,6.3498526,1.0,16.820626960434268,22.414215,1.0,21.187075649046346,13.72694,1.0,0.05104465254530628,0.03833178,1.0
