case,gt_q_d,mu_q_d,hit90_q_d,gt_q_s,mu_q_s,hit90_q_s,gt_tau,mu_tau,hit90_tau,gt_inv_temp,mu_inv_temp,hit90_inv_temp,gt_cost_stop_error,mu_cost_stop_error,hit90_cost_stop_error,gt_cost_go_error,mu_cost_go_error,hit90_cost_go_error,gt_cost_time,mu_cost_time,hit90_cost_time
38,0.8632782759033519,0.90858227,1.0,0.9287908587535258,0.87165797,1.0,14,14.124801,1.0,26.489425762974108,25.026318,1.0,6.748986568432045,4.9367023,1.0,1.1109176871069362,2.922546,1.0,0.03870280546215082,0.02161812,1.0
39,0.9516677470926709,0.90830296,1.0,0.6320930392198969,0.67379165,1.0,6,5.4909344,1.0,75.73577488886636,34.364613,0.0,1.189802477735832,1.6819843,1.0,3.818797906852952,10.192262,0.0,0.010855775319940164,0.020788856,0.0
40,0.6864223636606851,0.70175123,1.0,0.9070101642638717,0.8324878,1.0,8,7.8941174,1.0,70.16564924703462,59.351845,1.0,29.659802846104462,29.828579,1.0,3.2479837282705812,1.8428578,1.0,0.4046657065032038,0.37558794,1.0
41,0.7621258366938355,0.74116236,0.0,0.607942729989561,0.5807663,1.0,12,11.843752,1.0,78.59198615385758,71.61978,1.0,1.9669340469982277,2.075749,1.0,8.750601970624139,11.865887,1.0,0.10469154005470802,0.14603038,1.0
42,0.6720020165861935,0.6939504,1.0,0.9703724319138376,0.9091248,1.0,6,6.0689015,1.0,27.419848008838766,42.04106,1.0,4.988273273016464,8.937144,1.0,4.345172885904324,3.0724251,1.0,0.130068672742815,0.15528543,1.0
43,0.8159490591393896,0.900293,1.0,0.7542244466339738,0.77614367,1.0,12,11.554459,1.0,71.0733010424604,78.26889,1.0,36.054194149209245,27.120247,1.0,8.890405348027578,3.7561905,0.0,0.17970962362859733,0.15381515,1.0
44,0.9011584476816217,0.9805645,0.0,0.5987019879526059,0.5957403,1.0,5,5.701843,1.0,95.02381595898606,63.36857,1.0,13.863237141672426,20.307009,1.0,23.763401971977814,27.416634,1.0,0.11468451400187563,0.16366833,1.0
45,0.9377587024376559,0.93296677,1.0,0.5845070396826133,0.60317,1.0,9,9.043198,1.0,43.902239700125335,54.448338,1.0,3.2199195501680973,2.2149556,1.0,30.449280610940193,36.258175,1.0,0.041676293752156444,0.06773001,1.0
46,0.5376593779579633,0.5479023,1.0,0.792758669750335,0.732946,1.0,12,12.083406,1.0,33.4726751880418,50.529816,1.0,1.8273228100199892,6.3774695,1.0,2.342926019089925,5.679237,1.0,0.06758620324753538,0.16533579,1.0
47,0.984840477518999,0.9767435,1.0,0.8960136517043166,0.93805426,1.0,4,4.3023577,0.0,46.75682701531654,50.376114,1.0,5.107713828741119,10.022286,1.0,1.046097753274682,3.4501953,0.0,0.09310083621783413,0.21292645,1.0
48,0.8066447074518646,0.8589442,1.0,0.9406346299374998,0.9252457,1.0,6,5.707595,1.0,39.60949806023862,67.731155,1.0,13.558341382247159,4.0962696,0.0,20.1170754621204,6.5633135,0.0,0.14143570196309616,0.031533826,0.0
49,0.8358336428368137,0.8319119,1.0,0.5476366089950597,0.5483319,1.0,7,6.9455137,1.0,43.52188938987242,51.32984,1.0,1.2989477098178686,1.6236328,1.0,6.666348217854138,6.692053,1.0,0.040634310248276045,0.04537382,1.0
50,0.803795523418275,0.78602976,1.0,0.7452762201222523,0.7249814,1.0,5,5.015884,1.0,56.08014340930687,50.12872,1.0,1.2494723152307294,2.1201746,1.0,12.624345633965715,24.943274,1.0,0.07460953511567188,0.16444385,1.0
51,0.5281500204818275,0.5212012,1.0,0.5381770647944177,0.7201722,1.0,5,9.83915,1.0,66.43857778943516,51.43626,1.0,20.662681491250037,17.545462,1.0,5.420010028272394,13.3003,1.0,0.034735283950714485,0.12790962,1.0
