case,gt_q_d_n,mu_q_d_n,hit90_q_d_n,gt_q_d,mu_q_d,hit90_q_d,gt_q_s,mu_q_s,hit90_q_s,gt_tau,mu_tau,hit90_tau,gt_cost_go_error,mu_cost_go_error,hit90_cost_go_error,gt_cost_stop_error,mu_cost_stop_error,hit90_cost_stop_error,gt_cost_time,mu_cost_time,hit90_cost_time
170,0.945469191263019,0.65231836,1.0,0.9124015475563063,0.6785338,1.0,0.9003720467537085,0.7312748,1.0,12,12.308669,1.0,0.11344310421134815,0.31045538,1.0,0.02541563806931193,0.07200641,1.0,0.0007107160517511841,0.0031774458,1.0
171,0.2160426192940521,0.6326486,1.0,0.5167896981872022,0.62393445,1.0,0.9262909150230183,0.7160203,1.0,14,14.2444515,1.0,0.016270149399331024,0.24754266,1.0,0.14524725928846585,0.20732184,1.0,0.012479232093769643,0.020864585,1.0
172,0.5403825796300833,0.6869769,1.0,0.6324529750743078,0.7139952,1.0,0.6533799273560854,0.6775664,1.0,13,11.802877,0.0,5.937370826416745,3.9407792,1.0,3.8909614785770463,5.5148335,1.0,0.006871882997926356,0.006333292,1.0
173,0.7331818882275519,0.44453734,1.0,0.9230248071880178,0.8199005,1.0,0.9853051821083332,0.71603924,0.0,14,14.386084,1.0,0.08404721752191803,0.16816705,1.0,0.018815468957161487,0.08633404,1.0,0.0021849795894059386,0.006644536,1.0
174,0.7931383416263607,0.34612834,1.0,0.9150617254875553,0.74067533,1.0,0.9764715598051525,0.9342218,1.0,13,11.453563,1.0,0.0530320677906445,3.6026616,0.0,8.936363578070527,8.865771,1.0,0.0017182099369393118,0.0034754965,1.0
175,0.7076286186031484,0.57219326,1.0,0.8831760118858025,0.68130946,1.0,0.8260225654738949,0.7022122,1.0,5,5.0593195,1.0,0.017461757321106802,0.11676549,1.0,0.3905585325510331,0.5420448,1.0,0.0099726983394823,0.012033457,1.0
176,0.6260854447001992,0.61397064,1.0,0.6019216616296348,0.5967773,1.0,0.7353775144766468,0.73792416,1.0,12,12.235143,1.0,0.9601924705897955,383.6349,1.0,0.024574319087676638,0.05353981,1.0,0.0019461943714780053,0.0009714468,1.0
177,0.15759719822559837,0.5689848,1.0,0.5404927729986082,0.66812885,1.0,0.5306961491235234,0.68911743,1.0,5,5.247003,1.0,0.06612013789952602,0.0804,1.0,0.08089572031515668,0.12070607,1.0,0.0005537652273005481,0.0013803189,1.0
178,0.5656254126227213,0.4739978,1.0,0.790299550532165,0.7954947,1.0,0.7348783432450323,0.62623864,1.0,14,13.54432,1.0,0.6387347386363077,2.1703584,0.0,0.05826798064857631,0.10583947,1.0,0.00012876775510466717,0.0037835978,1.0
179,0.5372910655274715,0.40396917,1.0,0.5866936786608814,0.59148157,1.0,0.6951702364941083,0.6829442,1.0,10,9.495997,1.0,1.9565732809365235,2.0487354,1.0,0.17255723511304172,0.24753852,1.0,0.00013273120327219202,0.0003682826,1.0
