case,gt_q_d,mu_q_d,hit90_q_d,gt_q_s,mu_q_s,hit90_q_s,gt_tau,mu_tau,hit90_tau,gt_cost_stop_error,mu_cost_stop_error,hit90_cost_stop_error,gt_cost_time,mu_cost_time,hit90_cost_time
22,0.8158672588755719,0.82607603,1.0,0.6242429500041446,0.59377253,1.0,10,9.984798,1.0,1.1909806190135064,1.7439619,1.0,0.020258828100595233,0.02593572,1.0
23,0.6273974259273161,0.6419086,1.0,0.5173310420960359,0.5538202,1.0,14,13.146325,1.0,10.095548835525314,9.691039,1.0,0.030060390545285885,0.03349818,1.0
24,0.6728244166363735,0.7184177,1.0,0.5420546602255087,0.55422854,1.0,11,9.098769,0.0,29.65150703473732,34.822723,1.0,0.09201655371485364,0.08963443,1.0
25,0.81273377376523,0.84045887,1.0,0.9316247322425733,0.90180063,1.0,8,8.254536,1.0,3.1123244350902537,2.8531153,1.0,0.026592074187977464,0.023092415,1.0
26,0.7539098850798924,0.75100267,1.0,0.7929138850903731,0.7362544,1.0,10,10.007204,1.0,7.091321463643946,8.161684,1.0,0.24392367818544136,0.39457783,0.0
27,0.560086271117443,0.5672557,1.0,0.8853748360122647,0.9093799,1.0,10,9.237135,1.0,2.7779443513565836,4.34127,1.0,0.012996237855704525,0.016487615,1.0
28,0.8719690977058188,0.8893054,1.0,0.8747507791044409,0.81985885,1.0,11,11.733896,0.0,6.085840113100976,4.9478693,1.0,0.0607304108776554,0.049421396,1.0
29,0.9619646923934813,0.92396533,1.0,0.5650367983078769,0.55155003,1.0,13,13.515367,1.0,4.788152821483463,4.766921,1.0,0.011985111966366407,0.011851806,1.0
30,0.9679902428529947,0.8244479,1.0,0.7002108233315263,0.72809815,1.0,15,14.498865,1.0,12.070307137222311,12.657931,1.0,0.03452810423304039,0.041280195,1.0
31,0.8113878893419697,0.8480145,1.0,0.8173194910729282,0.8130561,1.0,5,4.6108212,1.0,2.9755351830722594,5.170963,1.0,0.01719815107508155,0.035677817,1.0
32,0.9999843371187708,0.667344,0.0,0.939125348930154,0.82214755,1.0,5,9.575424,1.0,41.47189114023569,39.242992,1.0,0.02599350682267636,0.035920713,1.0
33,0.6625728070381188,0.66044915,1.0,0.88049283500927,0.8135086,1.0,7,5.9287896,0.0,3.440900749234998,5.506877,1.0,0.04262169264173011,0.05581891,1.0
34,0.6725353088377026,0.6989914,1.0,0.9938129888734277,0.7924558,0.0,10,9.996475,1.0,13.131899580735622,12.107795,1.0,0.306912176434514,0.2512237,1.0
35,0.5244409613186549,0.544486,1.0,0.7493435245294131,0.77993846,1.0,14,14.10617,1.0,3.247049339311456,6.385017,0.0,0.056720532010262885,0.10934938,0.0
36,0.510238489419237,0.5225925,1.0,0.9232244959228546,0.6681423,1.0,11,11.12178,1.0,1.1391182004497866,1.5452943,1.0,0.03526480421024871,0.041100465,1.0
37,0.6720360609522567,0.69955176,1.0,0.9371331289897527,0.7000723,1.0,14,14.001977,1.0,19.140637939337832,14.216498,1.0,0.49209010327959996,0.40597358,0.0
38,0.7264344103251301,0.72429234,1.0,0.9360762893250811,0.9409295,1.0,16,15.7853565,1.0,1.1605563492441275,1.8577098,1.0,0.090119991811876,0.091720276,1.0
39,0.502408841819113,0.5169049,0.0,0.5616427483027647,0.70168626,1.0,13,13.150783,1.0,3.4153132271024242,1.9055285,1.0,0.037653438577015134,0.068978764,0.0
40,0.867622668189588,0.8676499,1.0,0.6382504553440078,0.7250144,1.0,11,11.018225,1.0,15.112631793592683,7.7746153,1.0,0.31278468808162374,0.39355433,1.0
41,0.6967405524034118,0.70774734,1.0,0.6405517772989984,0.6618047,1.0,5,5.2340584,1.0,1.2977825383192965,2.0832505,1.0,0.08079483606267747,0.09109004,1.0
42,0.9833579368902519,0.95073944,1.0,0.9007642819139479,0.81731737,0.0,13,13.082444,1.0,2.343769542376292,4.8463492,1.0,0.026389846043885733,0.06411816,1.0
43,0.5175208867908321,0.51333654,1.0,0.8115401567350955,0.8254436,1.0,14,15.11297,1.0,32.823925034687555,26.615816,1.0,0.1719892777847232,0.13876949,1.0
44,0.8894595096299072,0.89979845,1.0,0.5868016154633355,0.6359812,1.0,5,4.966318,1.0,1.9499945797914733,2.6934226,1.0,0.13075103875084906,0.124327786,1.0
45,0.7300230753694446,0.7403876,1.0,0.5894845209040527,0.69768935,1.0,10,9.977824,1.0,2.9513237886986046,2.4745946,1.0,0.2611092255666212,0.2654859,1.0
46,0.8953365877429705,0.87653375,1.0,0.8757256556255062,0.85380495,1.0,13,12.9577675,1.0,1.8802149203695273,2.597222,1.0,0.03168072117070432,0.041778274,1.0
47,0.8642171772390559,0.88616925,1.0,0.7931370341857762,0.78139466,1.0,13,12.22739,1.0,27.17887863977113,26.845232,1.0,0.21894625689439134,0.2086669,1.0
