case,gt_q_d,mu_q_d,hit90_q_d,gt_q_s,mu_q_s,hit90_q_s,gt_q_d_n,mu_q_d_n,hit90_q_d_n,gt_q_s_n,mu_q_s_n,hit90_q_s_n,gt_tau,mu_tau,hit90_tau,gt_inv_temp,mu_inv_temp,hit90_inv_temp,gt_cost_stop_error,mu_cost_stop_error,hit90_cost_stop_error,gt_cost_time,mu_cost_time,hit90_cost_time
149,0.5181854602451863,0.5202858,1.0,0.8041986261743581,0.8260216,1.0,0.4751710537023932,0.5205791,1.0,0.4573408941646665,0.5402057,1.0,5,4.9501805,1.0,85.23880019904391,58.60265,1.0,2.8243017733830627,2.964864,1.0,0.030168798164459536,0.026948951,1.0
150,0.885689694341143,0.869092,1.0,0.6393460918797262,0.66142297,1.0,0.6942898000484097,0.70711905,1.0,0.6561485163359588,0.6767749,1.0,5,5.0369205,1.0,83.00208421663108,60.645622,1.0,4.597703120586035,5.873461,1.0,0.07662605754693246,0.084142394,1.0
151,0.908020714499981,0.9011517,1.0,0.6946900439396531,0.7123917,1.0,0.31112392249419085,0.34601337,1.0,0.520851498545578,0.57292295,1.0,11,9.759754,0.0,44.137290902641205,58.16901,1.0,5.192326187923881,6.1875186,1.0,0.015022378032722595,0.017327582,1.0
152,0.8734727154797945,0.88313097,1.0,0.951765153350955,0.6330903,0.0,0.5963079188915925,0.6237527,1.0,0.9983017916261796,0.7069066,0.0,8,7.8005576,1.0,93.04503969563767,43.916275,0.0,2.9646560800471837,4.7389574,1.0,0.03522297240238444,0.042248107,1.0
153,0.7537310538110651,0.81557095,1.0,0.7271164103145179,0.7564075,1.0,0.27317917172127004,0.514823,1.0,0.19697025638636445,0.15379491,1.0,5,4.535533,1.0,14.720772980409137,40.93054,1.0,2.566882234881933,1.9956034,1.0,0.02049277760735396,0.020280257,1.0
154,0.7822004939505627,0.63053685,1.0,0.6858937082233968,0.72957397,1.0,0.9800781333999429,0.67988193,1.0,0.5259322718285699,0.51338613,1.0,12,12.119942,1.0,53.51874518702251,62.28799,1.0,15.589514559427995,8.796047,1.0,0.24483433592782802,0.30205274,1.0
155,0.5882439294287666,0.5769441,1.0,0.7254870791063353,0.64125246,1.0,0.5230390311548629,0.47662228,1.0,0.9642009425000896,0.60860866,1.0,6,6.0523324,1.0,33.470346145450975,44.64102,1.0,4.226034932862584,4.0222273,1.0,0.060320804340069874,0.05546165,1.0
156,0.6532656014058769,0.6396449,1.0,0.9782719408930973,0.96926194,1.0,0.9010390227967691,0.83035326,1.0,0.6594034345184937,0.6442769,1.0,5,4.9197965,1.0,84.80630735972183,33.3355,1.0,5.8232257456560985,5.1218176,1.0,0.07015092708665824,0.053178344,1.0
157,0.8841296108053207,0.92718995,1.0,0.8973082633248647,0.9248352,1.0,0.4868642050562656,0.58158904,1.0,0.7463897473599744,0.8270581,0.0,14,14.134233,1.0,89.77771996335186,63.73558,1.0,17.005329416753423,19.484362,1.0,0.06062016394399624,0.06126265,1.0
158,0.6869549815237627,0.7558373,1.0,0.7725929257314887,0.8483655,1.0,0.21870873624170406,0.4541546,1.0,0.031180716526299612,0.072836764,1.0,14,14.54082,1.0,29.93086273044997,53.907673,1.0,3.0125079523785474,4.851835,1.0,0.07362466435058064,0.105263464,1.0
159,0.9891768771081266,0.9769831,1.0,0.5884859949192358,0.6416782,1.0,0.9408880242320123,0.95521945,0.0,0.5192141350022461,0.62034446,1.0,7,6.7450542,1.0,51.089543100610264,44.272648,1.0,5.8980300934285435,2.3599195,0.0,0.0671599419058594,0.04777323,1.0
160,0.8166684372239632,0.8222479,1.0,0.8971256148320768,0.7474796,1.0,0.5677361602996351,0.57317615,1.0,0.04203068652695119,0.4938477,0.0,5,5.0084243,1.0,26.9804953601584,58.313328,1.0,6.1219208882849045,3.3218095,1.0,0.18852062207224607,0.20308438,1.0
161,0.565415159056943,0.6887518,1.0,0.7524429455664826,0.7952195,1.0,0.9979872807419327,0.5175354,0.0,0.4787894127426584,0.3869621,1.0,4,9.677445,0.0,94.73902288483833,61.858467,1.0,33.10971057097559,33.322704,1.0,0.03518053611899459,0.03907251,1.0
162,0.8412820844549795,0.81858706,1.0,0.6436865841404711,0.66570514,1.0,0.5400231710969886,0.57312214,1.0,0.7919192845475471,0.7629633,1.0,15,12.151597,0.0,69.05910713158221,36.02293,1.0,2.9630928509651837,5.666567,0.0,0.010873213092198637,0.012649937,1.0
163,0.8558400671365657,0.8589797,1.0,0.7559791327628962,0.7411681,1.0,0.08692941832693268,0.055042237,1.0,0.0943583560838841,0.48667738,0.0,12,12.110408,1.0,93.09348675461344,65.162506,1.0,15.237026860167688,20.10843,1.0,0.2801460009694625,0.28268427,1.0
164,0.9935195274938566,0.9920314,1.0,0.7381514960418558,0.81105894,1.0,0.6505345778766047,0.71494925,0.0,0.431872998970367,0.5678004,0.0,4,4.3125067,0.0,33.91192323715909,52.885704,1.0,2.0859065413155635,4.6106925,1.0,0.03765007359294799,0.08726312,1.0
165,0.6647667807220354,0.7435964,1.0,0.9236491765023345,0.8550796,1.0,0.7171021971637679,0.89792556,0.0,0.9485678651487511,0.6660282,0.0,4,4.131591,1.0,87.10069619898337,71.52705,1.0,16.865835238203548,19.589977,1.0,0.010976647916813562,0.042056132,0.0
166,0.7968598845931852,0.8208264,1.0,0.572801841426074,0.6086044,1.0,3.5061468120045625e-05,0.3429755,0.0,0.948619516451557,0.8466786,1.0,6,4.5433674,0.0,42.49513143505281,49.94288,1.0,23.10922676340979,26.019733,1.0,0.024347814233040964,0.026178727,1.0
167,0.9748313149163037,0.8504217,1.0,0.7238976786647551,0.75319946,1.0,0.48834484762177677,0.50371385,1.0,0.8839681785466071,0.8862711,1.0,5,4.2515473,0.0,35.61349906185099,70.59849,0.0,40.54253268747193,32.16943,1.0,0.04292129432124606,0.034758613,1.0
