case,gt_q_d,mu_q_d,hit90_q_d,gt_q_d_n,mu_q_d_n,hit90_q_d_n,gt_q_s,mu_q_s,hit90_q_s,gt_tau,mu_tau,hit90_tau,gt_inv_temp,mu_inv_temp,hit90_inv_temp
132,0.8258153718572645,0.8013372,1.0,0.2749199894994898,0.24461588,1.0,0.7828379325946768,0.7791803,1.0,13,13.140943,1.0,79.39131515551651,78.8483,1.0
133,0.733357338413459,0.7468094,1.0,0.6350009949053443,0.65192527,1.0,0.7167379672896154,0.73663867,1.0,13,12.933,1.0,85.89243720656208,79.58827,1.0
134,0.5621760581810091,0.5500648,1.0,0.9446835581397971,0.64372,1.0,0.5131353460221213,0.55825454,1.0,4,4.3056827,0.0,84.03328054679501,71.27101,1.0
135,0.8694111902147315,0.8804083,1.0,0.6725971476163722,0.67727286,1.0,0.7482316435399416,0.7528818,1.0,12,11.759383,1.0,81.47894257281854,91.68397,1.0
136,0.8604027980055418,0.8546148,1.0,0.44410897495070234,0.27035093,1.0,0.858720800811118,0.8444884,1.0,11,11.697623,1.0,40.165213842473825,39.294586,1.0
137,0.7804371158228571,0.7757057,1.0,0.555052508229516,0.5926903,1.0,0.7280853771925528,0.6872406,0.0,16,15.155322,0.0,26.582708325532145,63.342316,0.0
138,0.9917379407151298,0.99316543,1.0,0.9177232112240907,0.91137624,1.0,0.8404327153588763,0.82088906,1.0,9,9.167387,1.0,34.271685886640704,36.836002,1.0
139,0.6693299775339757,0.6438259,1.0,0.8786589563952298,0.8396885,1.0,0.9296572277571791,0.9492395,0.0,6,5.1899166,1.0,90.6297077771386,92.65117,1.0
140,0.9868025253943622,0.96282244,1.0,0.7030131000745846,0.4371908,1.0,0.9224641654927643,0.9259126,1.0,7,7.4020367,1.0,30.32556175588652,29.40245,1.0
141,0.7174129162248462,0.71835303,1.0,0.792423125190114,0.80684334,1.0,0.5119336803296244,0.5283817,1.0,13,12.958932,1.0,96.6081079569834,69.10966,0.0
142,0.7800266252736641,0.7720591,1.0,0.4723549857510222,0.45655128,1.0,0.5773813417171774,0.58144164,1.0,15,15.012652,1.0,44.196450553821386,30.11756,1.0
143,0.6994371324402286,0.6862644,1.0,0.25438120711437595,0.342473,1.0,0.9783222719365751,0.9445633,0.0,9,8.655533,1.0,42.70122784266711,51.283295,1.0
144,0.7174278464669681,0.7176063,1.0,0.700622356401114,0.72345495,1.0,0.5325575970113431,0.52804154,1.0,15,14.8835535,1.0,13.419615911924579,15.632945,1.0
145,0.5140982146926207,0.5503329,1.0,0.7504074857589971,0.4014084,1.0,0.5594148649565056,0.55559593,1.0,9,9.221368,1.0,25.36618920253973,75.14607,0.0
146,0.57327259942815,0.6032693,0.0,0.017124511615036364,0.33703133,0.0,0.6962918067159258,0.68624336,1.0,9,8.049245,0.0,34.13754812806944,67.163765,1.0
