case,gt_q_d_n,mu_q_d_n,hit90_q_d_n,gt_q_d,mu_q_d,hit90_q_d,gt_q_s,mu_q_s,hit90_q_s,gt_tau,mu_tau,hit90_tau,gt_cost_stop_error,mu_cost_stop_error,hit90_cost_stop_error,gt_cost_time,mu_cost_time,hit90_cost_time
61,0.03629543299319349,0.35540402,1.0,0.6549680835385774,0.6743535,1.0,0.9604663682758365,0.70244163,0.0,7,7.2009697,1.0,12.521518467652486,16.866455,1.0,0.35319431661519907,0.3725484,1.0
62,0.7067537244343862,0.6619923,1.0,0.9254093085146975,0.9123102,1.0,0.590659858850391,0.6079823,1.0,10,10.127076,1.0,3.7109073978682967,3.0545142,1.0,0.05984720087113349,0.059074096,1.0
63,0.7525110742440361,0.7482321,1.0,0.6310440895153289,0.6620947,1.0,0.9034990604445536,0.8990049,1.0,5,4.380666,0.0,13.487391091343257,11.508962,1.0,0.03307641408347104,0.024241662,1.0
64,0.6815607805143016,0.5502548,1.0,0.9285733165036651,0.8723182,1.0,0.8598625987553064,0.8953041,1.0,11,11.050815,1.0,33.550561085492184,19.046795,0.0,0.4460708791160006,0.2574351,0.0
65,0.5989152089047357,0.8430004,1.0,0.5692237462232765,0.6801194,1.0,0.5426416161697195,0.5742826,1.0,13,10.962403,0.0,12.90875530650662,23.522964,0.0,0.04666120584587406,0.07737954,1.0
66,0.8243157394223177,0.87910736,1.0,0.6240712948627456,0.66084033,1.0,0.5277645287792163,0.56168836,1.0,7,5.212467,0.0,10.297714147254922,7.976212,1.0,0.024255827266432384,0.012342705,0.0
67,0.14297065262979836,0.43207893,1.0,0.6561794821620075,0.7096486,1.0,0.9528026097624999,0.8885724,1.0,9,7.295441,0.0,6.48688116690427,9.353522,0.0,0.005916017375231172,0.014610357,1.0
68,0.6875495135073493,0.6309905,1.0,0.5988942924369651,0.58549845,1.0,0.9583240980538308,0.91767883,1.0,8,8.30156,1.0,11.184899998086436,11.154049,1.0,0.09833812709247125,0.08844527,1.0
69,0.8139831777595137,0.80745375,1.0,0.8764003069515642,0.8763108,1.0,0.9370915150215695,0.97235537,1.0,4,4.6997404,0.0,12.047165993159282,8.291323,1.0,0.08846170073999292,0.052079067,1.0
70,0.05746166185930779,0.12035485,1.0,0.8947946365054988,0.8598624,1.0,0.6865097274841534,0.7545508,1.0,13,13.106391,1.0,2.838934306504714,6.831676,1.0,0.22091313956951403,0.30869374,1.0
71,0.2800452254097776,0.241507,1.0,0.7431914349039686,0.72086155,1.0,0.681055749769663,0.69625866,1.0,7,6.180082,1.0,1.6623187689602998,2.0656931,1.0,0.016982939444798388,0.01867294,1.0
72,0.9190231805558864,0.86958486,1.0,0.755853218033858,0.7493612,1.0,0.7823193052416542,0.7522698,1.0,12,11.339506,1.0,16.01571134991433,21.29167,1.0,0.008119423971972703,0.023544006,1.0
73,0.5805287492276964,0.5138904,1.0,0.6352388977654366,0.6118971,1.0,0.561096122773988,0.5491185,1.0,15,13.927349,1.0,2.080899571139617,2.2250326,1.0,0.008046964790361358,0.008094575,1.0
74,0.7354244399058618,0.30096477,1.0,0.9537208580735265,0.89581865,1.0,0.970640918266294,0.96775264,1.0,9,7.2508163,0.0,9.498428123486738,8.517593,1.0,0.02704172065592579,0.019857934,1.0
75,0.7932378929319838,0.8306098,1.0,0.7197951209686451,0.75425804,1.0,0.8324183542822319,0.818326,1.0,7,6.4749317,1.0,2.2535387063930767,2.1388063,1.0,0.019678177079459333,0.01915139,1.0
76,0.6582003764105598,0.60905004,1.0,0.5099398761002891,0.61450195,1.0,0.6875657829152089,0.7584812,1.0,6,6.19911,1.0,0.981846034874682,1.5485443,1.0,0.040348411143937786,0.08879698,0.0
77,0.6329877406968237,0.3423551,1.0,0.7992382382189456,0.8549746,1.0,0.5868645451581717,0.6999995,0.0,6,5.080687,0.0,38.12335047827072,34.368973,1.0,0.012737097045594448,0.021833733,1.0
78,0.253663067043954,0.28769222,1.0,0.8876117583119658,0.8815756,1.0,0.5523714748579366,0.55774146,1.0,7,5.4507656,0.0,29.62642333265538,27.885437,1.0,0.046857618102173114,0.034878682,1.0
79,0.0505662976543243,0.3343283,1.0,0.9161991455400912,0.8996694,1.0,0.9319822960547945,0.922946,1.0,14,12.762654,0.0,7.989514957363879,9.226611,1.0,0.011395689235912648,0.013996006,1.0
80,0.9023819297889695,0.7703185,1.0,0.8486547523624646,0.74731654,1.0,0.6441568078650248,0.6420245,1.0,11,11.096738,1.0,27.95440317639514,32.23917,1.0,0.1730039367907753,0.20017318,1.0
81,0.9544335699303538,0.49441513,0.0,0.5259170834903493,0.6313174,0.0,0.6415910968899996,0.7686954,1.0,16,5.0237164,0.0,42.88951111258616,32.05557,1.0,0.0867867098531438,0.016233042,0.0
