case,gt_q_d,mu_q_d,hit90_q_d,gt_q_s,mu_q_s,hit90_q_s,gt_q_d_n,mu_q_d_n,hit90_q_d_n,gt_q_s_n,mu_q_s_n,hit90_q_s_n,gt_tau,mu_tau,hit90_tau,gt_cost_stop_error,mu_cost_stop_error,hit90_cost_stop_error,gt_cost_time,mu_cost_time,hit90_cost_time
81,0.9343873677262002,0.91797704,1.0,0.9604617978198776,0.94732094,1.0,0.389278155897841,0.2792038,1.0,0.9335938777468871,0.85486215,0.0,11,10.928605,1.0,2.6258030109568398,2.0556166,1.0,0.024295426867442828,0.022399597,1.0
82,0.6659649156819429,0.66398466,1.0,0.7957393049298662,0.7038617,1.0,0.3112276936179449,0.31343836,1.0,0.1634928159663348,0.52443254,1.0,15,15.103611,1.0,2.1005573696563578,2.0256653,1.0,0.22469948971406878,0.20260096,1.0
83,0.514945799231377,0.62743485,1.0,0.5053672490769656,0.7204745,1.0,0.4062554466971361,0.5405949,1.0,0.907914673620423,0.43034694,1.0,12,9.980138,1.0,9.073046805804587,36.829117,0.0,0.010975935797567272,0.027942332,1.0
84,0.7804152650468827,0.7857928,1.0,0.5434509539775043,0.5942086,1.0,0.45603670402411856,0.4844829,1.0,0.43908615912075,0.6201721,1.0,10,10.196327,1.0,3.9643233221735987,3.7586372,1.0,0.013412523889958918,0.014419051,1.0
85,0.900142975764421,0.8566181,0.0,0.7898206260845251,0.69314027,1.0,0.3987708643363612,0.22591014,0.0,0.569226699863154,0.55233437,1.0,11,10.849691,1.0,1.1216612350623199,1.4599537,1.0,0.025999498053636907,0.033039887,1.0
86,0.8021593829642246,0.8695002,1.0,0.7788992409904874,0.74653345,1.0,0.46033146549136694,0.3390415,1.0,0.6772200378921086,0.46377409,1.0,15,13.829594,0.0,34.328220419184014,33.23785,1.0,0.014351272817805199,0.01502175,1.0
87,0.7150362091312245,0.7099877,1.0,0.6282092614131177,0.7255993,1.0,0.75695759054367,0.6609519,1.0,0.4938724163068534,0.5876217,1.0,15,15.287965,1.0,2.826347890543324,3.2049248,1.0,0.06267066726872161,0.07346916,1.0
88,0.6732028895039615,0.6827356,1.0,0.9497150880831271,0.66592807,0.0,0.07695316284040021,0.13668604,1.0,0.9657554005685546,0.64728075,0.0,13,12.986222,1.0,15.535420813009992,39.427525,0.0,0.1382985831653035,0.32251927,0.0
89,0.6716628430191867,0.6610042,1.0,0.5405323132041704,0.59106565,1.0,0.9234909453736171,0.9031739,1.0,0.30125616128476396,0.69130397,1.0,12,10.098476,0.0,2.6889680312625615,2.9976597,1.0,0.017116826355294656,0.014584832,1.0
90,0.7599545149435027,0.8000329,1.0,0.9404956205285282,0.9641826,1.0,0.22105201894243676,0.3296329,1.0,0.6959223930203012,0.61414784,0.0,11,10.606641,1.0,8.981762255742195,6.7866297,1.0,0.12942882763334101,0.09431018,1.0
91,0.7386159567788375,0.7457471,1.0,0.9323013486675227,0.9655396,1.0,0.07848955139633229,0.26282096,1.0,0.11370384377322029,0.049989466,1.0,14,14.113841,1.0,1.3747593536155849,1.7199143,1.0,0.01565056367067893,0.027048267,1.0
92,0.9634124853592438,0.92436314,1.0,0.9088754052139066,0.93525857,1.0,0.1877729154164448,0.3675002,1.0,0.7084784496732485,0.6599147,1.0,10,10.240518,1.0,24.81949680067392,28.7184,1.0,0.0941318530925932,0.12812066,1.0
93,0.5970635561608353,0.6310467,1.0,0.6093742141140412,0.6761412,1.0,0.5387974186950245,0.727661,1.0,0.5152878260087727,0.34801903,1.0,4,4.3251514,1.0,8.503783608431077,8.70552,1.0,0.012099542553040505,0.015385382,1.0
94,0.6546834579642078,0.6501728,1.0,0.836419084927134,0.9383957,0.0,0.46384000839033657,0.4045633,1.0,0.5582673416908275,0.6565235,1.0,11,11.198658,1.0,7.602366402092744,9.214872,1.0,0.14722296656447295,0.16953205,1.0
95,0.9405970018493155,0.9610732,1.0,0.5591315732278537,0.753547,1.0,0.6113888915572795,0.6215513,1.0,0.7012298197701176,0.5278713,1.0,7,7.07171,1.0,24.69732464087809,8.79591,0.0,0.2570084936474214,0.21880306,1.0
96,0.7108304484801393,0.7976785,1.0,0.5287962254180396,0.74408233,0.0,0.8201294533478701,0.6968086,1.0,0.15365052551287317,0.62046266,1.0,5,5.05656,1.0,19.215024184805863,17.2815,1.0,0.16326951715016366,0.24802874,1.0
97,0.6319066260647985,0.67630535,1.0,0.9088591788830862,0.85955185,1.0,0.20575536736422884,0.3784336,1.0,0.12351976137955356,0.07975198,1.0,7,7.3030653,1.0,38.175814350974846,30.331425,1.0,0.312729105448915,0.22613472,1.0
98,0.7053193595041086,0.727991,1.0,0.5504389671230068,0.75322783,1.0,0.3388963447283876,0.37369782,1.0,0.17160418986186265,0.48152643,1.0,6,6.102615,1.0,3.8827596423916417,2.8916414,1.0,0.29861604399098235,0.27230036,1.0
99,0.8985215894156737,0.87409264,1.0,0.9263820172401406,0.7727222,1.0,0.6458938430352,0.6416122,1.0,0.8943082684774537,0.4879699,1.0,6,6.1288815,1.0,2.377695450971148,2.7434585,1.0,0.17582669371232032,0.17099087,1.0
100,0.8925384625158715,0.92548794,1.0,0.8759446906237389,0.8798789,1.0,0.5224067142813928,0.31760937,1.0,0.6451966842677052,0.64759886,1.0,11,10.541451,1.0,2.9876171801554596,4.379273,1.0,0.029539788784620394,0.032058433,1.0
101,0.608343624142998,0.6152639,1.0,0.9200761257020381,0.9389022,1.0,0.8417035383230278,0.56298,1.0,0.16364157555130732,0.19372481,1.0,11,11.552549,1.0,29.938826859287264,36.397736,1.0,0.2904890306033995,0.37038514,1.0
102,0.8334342492386554,0.8081964,1.0,0.5514754597314366,0.6766045,1.0,0.39986756765548226,0.42469257,1.0,0.0560058850648526,0.5750532,0.0,4,4.416552,0.0,2.261070973735503,1.6140788,1.0,0.0416498187074682,0.052818354,1.0
103,0.8942531911203953,0.8784334,1.0,0.67077457761749,0.64295405,1.0,0.1479348768477523,0.13973282,1.0,0.6053188752841254,0.5858899,1.0,9,8.969152,1.0,1.6279614473111061,1.3565599,1.0,0.06340852695774743,0.07654895,1.0
104,0.7936738662776033,0.74601537,1.0,0.9017299549725826,0.9038136,1.0,0.5467363218199767,0.36854348,1.0,0.18703879779734744,0.22220612,1.0,5,4.8241415,1.0,2.1758542638451006,2.0947218,1.0,0.029103053253229663,0.02706712,1.0
105,0.8126212727120066,0.6382511,1.0,0.783950485940688,0.7355024,1.0,0.9614488516387089,0.69014466,1.0,0.19655649538120223,0.528724,1.0,7,7.1743765,1.0,2.3836370869109316,3.3630602,1.0,0.18947888979683505,0.1929395,1.0
106,0.9296815381276022,0.9330741,1.0,0.8564206747816292,0.78294873,1.0,0.1710078542340001,0.15499942,1.0,0.036021214360320575,0.5055371,0.0,7,7.1535125,1.0,6.576253857860806,5.499248,1.0,0.28296235224824146,0.26560882,1.0
107,0.5710256501782971,0.6696988,0.0,0.5427967986679749,0.9527666,0.0,0.4974262817807469,0.6672828,1.0,0.1310253570451514,0.23557805,1.0,8,5.9970465,0.0,9.251768962628338,17.445995,0.0,0.014036595078139601,0.050548922,1.0
108,0.5750632019350908,0.6211556,0.0,0.7876037624888876,0.82195085,1.0,0.081810595600453,0.2922245,1.0,0.1848491287955648,0.19837575,1.0,14,12.735805,0.0,20.381140325400917,19.510399,1.0,0.03822150266147402,0.028782276,1.0
109,0.512381137356672,0.5971524,1.0,0.573089026615198,0.74108887,1.0,0.010775027374784196,0.7107704,0.0,0.15079727511867624,0.49635005,1.0,13,13.180006,1.0,3.9007420671164525,2.3849292,1.0,0.05832185482525266,0.08791455,1.0
110,0.5589516742074951,0.57448244,1.0,0.9280044312202143,0.9126187,1.0,0.9531068818747248,0.6100664,1.0,0.08506520652901817,0.1509683,1.0,11,9.12171,0.0,30.40780365801722,36.3993,1.0,0.18538719389406152,0.23746872,1.0
111,0.668120843538965,0.69836086,1.0,0.6420244029817197,0.69229186,1.0,0.3403489939995743,0.4472415,1.0,0.49972998878836594,0.4545924,1.0,15,14.281535,1.0,1.9965353120997236,2.5021265,1.0,0.010801950966154257,0.012487033,1.0
112,0.5368075251755291,0.63579345,1.0,0.7792145234510224,0.7490921,1.0,0.1893466132599707,0.6281841,1.0,0.9689593799297476,0.5518484,0.0,14,14.012858,1.0,3.7012089365674137,11.995816,1.0,0.29772585041195365,0.3681354,1.0
113,0.5874623034764523,0.6497817,0.0,0.9656000566602401,0.9595432,1.0,0.2592536283633238,0.49410713,1.0,0.32660501916101436,0.306682,1.0,5,5.426624,1.0,4.195058099355093,5.514545,1.0,0.05740676219131151,0.0797727,1.0
114,0.6660806190767785,0.6986169,1.0,0.6970333330639211,0.7481637,1.0,0.02119479180597017,0.43310782,0.0,0.6893769981612428,0.22717501,0.0,14,10.588284,0.0,4.037740944923784,6.882619,0.0,0.04050472692609884,0.048748225,1.0
115,0.6255738775182353,0.6783184,1.0,0.8586147145017151,0.77732897,1.0,0.44524613202918095,0.58865976,1.0,0.2604597421286702,0.53545165,1.0,5,5.0761952,1.0,3.2757355913269315,4.4722357,1.0,0.1549822128017785,0.13508146,1.0
116,0.7444583879056801,0.7795889,1.0,0.9935803524018676,0.95941395,1.0,0.28708756663775015,0.48410797,1.0,0.5495779819102151,0.49115795,1.0,5,4.4013085,0.0,10.990572474030444,14.2616625,1.0,0.01916322922508979,0.0412008,1.0
117,0.9021791043646712,0.86895835,1.0,0.5277223371538271,0.7260715,1.0,0.41952337882368496,0.34514746,1.0,0.6354500867448852,0.5290674,1.0,14,14.184225,1.0,1.0544164142802683,1.2130215,1.0,0.02741372405164562,0.036065664,1.0
118,0.7447461210023252,0.75216323,1.0,0.9533283340155492,0.6466869,0.0,0.16728651090358526,0.13021515,1.0,0.940540185501127,0.62530553,1.0,11,11.086388,1.0,3.7508819759277867,8.415313,1.0,0.16050747947502378,0.20068717,1.0
119,0.6699084944245217,0.6865161,1.0,0.9430548274735792,0.9632692,1.0,0.6684297367440475,0.6736987,1.0,0.6915151530165361,0.66117966,1.0,11,11.358721,1.0,7.779670068299601,7.482376,1.0,0.04486825472411089,0.04093806,1.0
120,0.956154134946378,0.8463368,1.0,0.8011582913135956,0.81628,1.0,0.3751509018672714,0.39908186,1.0,0.22484740487479815,0.5497411,1.0,12,11.017098,0.0,33.36634334724411,42.557487,0.0,0.011493123505466656,0.015931766,1.0
121,0.8142785385107709,0.8266991,1.0,0.5833614484246603,0.61466116,1.0,0.607665554401638,0.6600166,1.0,0.7520924115358569,0.6791068,1.0,8,8.319591,1.0,1.6332812350252601,2.4437969,1.0,0.012262821346129061,0.021241266,1.0
122,0.6921166123133362,0.6849818,1.0,0.803590460803603,0.7508133,1.0,0.5898942728926354,0.51911604,1.0,0.010583126959027966,0.57998985,0.0,9,9.106328,1.0,2.0268068169837212,14.540565,1.0,0.42687236419163443,0.38673535,1.0
123,0.8665018592611613,0.86574835,1.0,0.7340750719140059,0.76255846,1.0,0.01109090611114305,0.32761198,0.0,0.6115679590224028,0.46943116,1.0,6,5.361634,0.0,27.490354058651903,25.999413,1.0,0.023166481188389033,0.028574115,1.0
124,0.55475828524744,0.6775547,1.0,0.9752942474559045,0.7723359,1.0,0.07654974560233985,0.6702853,0.0,0.09266313556832484,0.4846905,1.0,13,13.175911,1.0,2.311678865413434,2.6113555,1.0,0.07328297729767128,0.1056936,1.0
125,0.8681027322572739,0.8919319,1.0,0.6129372727411238,0.5922657,1.0,0.1013989006979279,0.05521923,1.0,0.36883171688251404,0.546339,1.0,6,5.968156,1.0,31.46307244472036,20.4522,1.0,0.3009889823322148,0.1636385,1.0
126,0.967298164089506,0.9742373,1.0,0.5488121260054214,0.6652505,1.0,0.35153706547158436,0.20721257,0.0,0.10747530350939549,0.5429924,1.0,15,14.972069,1.0,12.192925755354315,3.4615166,1.0,0.2207609497981629,0.1488237,1.0
127,0.5298658940989205,0.64035046,0.0,0.7357340848585239,0.76819754,1.0,0.03466085120251028,0.6763951,0.0,0.16470397343000254,0.12808011,1.0,7,7.2244267,1.0,7.307240599234765,9.71374,1.0,0.07816558967101551,0.124745905,1.0
128,0.6892186257268831,0.67756474,1.0,0.5461565644950064,0.65728724,1.0,0.28134423124762387,0.24716973,1.0,0.8974963002250071,0.65650195,1.0,14,13.998457,1.0,5.5073584871808405,4.685452,1.0,0.10025043907507845,0.094310336,1.0
129,0.5427952645208,0.6385287,1.0,0.7978090976638625,0.7958603,1.0,0.85757130847806,0.68288034,1.0,0.9810426642112444,0.5616895,0.0,14,14.119573,1.0,4.618225440869438,8.067693,1.0,0.048376315342482205,0.14009616,0.0
130,0.8622862360964828,0.8713042,1.0,0.9994833693575579,0.94404227,0.0,0.25292769130050996,0.21101537,1.0,0.9034000182055982,0.8285924,0.0,8,8.043963,1.0,1.7413492043566847,1.4512717,1.0,0.02676636426551816,0.023028355,1.0
131,0.7687747374838632,0.7964757,1.0,0.9927526431266906,0.91379607,0.0,0.23058868651644526,0.42176968,0.0,0.8279851665432125,0.7102929,0.0,8,7.777202,1.0,2.4131388851302153,3.6371458,1.0,0.03090377926389562,0.038420692,1.0
132,0.7354642600827959,0.7699408,1.0,0.7824309570351753,0.7591666,1.0,0.27642336672267487,0.3308675,1.0,0.3195551697810255,0.2902072,1.0,13,11.863147,0.0,14.092859393939477,13.430396,1.0,0.053815537337396406,0.047421876,1.0
133,0.700611891990983,0.8660148,0.0,0.9964725859126328,0.7678409,0.0,0.013912767576454321,0.3324624,0.0,0.9022321619983633,0.42437023,0.0,6,5.4916787,1.0,28.440389874910377,26.409916,1.0,0.011324051803272601,0.020356005,1.0
134,0.6631497680652196,0.6548065,1.0,0.7526154060071444,0.75476784,1.0,0.6928291270614221,0.70308506,1.0,0.0675265679489585,0.5168201,0.0,7,7.1645637,1.0,1.167936208829624,8.242144,0.0,0.3744124455232172,0.31149456,1.0
135,0.7091443869958367,0.70221186,1.0,0.7891413137750578,0.6442501,1.0,0.2581868758553718,0.2789723,1.0,0.8692242243924541,0.6182455,1.0,10,10.243498,1.0,1.5335793897223744,2.360543,1.0,0.041105156202927366,0.047882777,1.0
136,0.7111686423903465,0.73701966,0.0,0.6341236013089089,0.65181726,1.0,0.139183765924213,0.15168491,1.0,0.4661080217995338,0.54757667,1.0,4,4.3934326,0.0,2.2274880852781407,2.1731865,1.0,0.07621308364590358,0.07997868,1.0
137,0.5313700803606978,0.6285553,1.0,0.5079393617322286,0.74768615,0.0,0.15744370344730174,0.65569603,1.0,0.05832403051687973,0.55584145,0.0,10,10.122315,1.0,9.163442793388612,11.474511,1.0,0.25912322710814684,0.36260423,1.0
138,0.8934975987112157,0.88379294,1.0,0.5320216450380599,0.61686903,1.0,0.09786533350525473,0.13059723,1.0,0.4354325152614047,0.6071587,1.0,12,12.153489,1.0,1.822949928516735,1.3017085,1.0,0.051686708872506225,0.053850472,1.0
139,0.5317792858981178,0.52006936,1.0,0.760514627868788,0.75356436,1.0,0.0961533756409092,0.34959716,1.0,0.1830438424787164,0.22779083,1.0,11,11.299892,1.0,1.4365005354164915,2.9616153,0.0,0.01581585637873207,0.022048846,1.0
140,0.5656503646942981,0.59066063,1.0,0.7753825944162942,0.78522766,1.0,0.22165177634863242,0.31715405,1.0,0.6578042856874924,0.5432436,1.0,12,10.765075,1.0,6.947700754379009,9.2095995,0.0,0.03518425158604619,0.04462391,1.0
141,0.9624700338144744,0.9381781,1.0,0.904595552916457,0.9702817,0.0,0.6320911944672335,0.35896206,1.0,0.6774015825158461,0.66945803,1.0,5,5.428484,1.0,2.7527850558439244,2.8206747,1.0,0.015584061081091656,0.014847912,1.0
142,0.6548246110507532,0.67340344,1.0,0.6736159513198627,0.6439862,1.0,0.021244067356029128,0.03467128,1.0,0.6975458752338737,0.60064304,1.0,5,5.0771036,1.0,2.0496280323599088,2.008516,1.0,0.0844355340106966,0.09587639,1.0
143,0.8488187258996064,0.87630236,1.0,0.5333941147775421,0.55568284,1.0,0.7780892168512488,0.82293135,1.0,0.44525944551879615,0.6085728,1.0,12,10.443786,1.0,17.438473975237557,18.297264,1.0,0.07316736529182524,0.06393184,1.0
144,0.5445228957628774,0.5411001,1.0,0.7099915352312656,0.698403,1.0,0.9711015126596471,0.38370046,0.0,0.2404889916034788,0.57673377,1.0,9,6.397739,1.0,42.1592901101986,31.901382,1.0,0.09238527984614012,0.05299296,1.0
145,0.9581241919086868,0.88635725,0.0,0.8997181226672084,0.8617866,1.0,0.9789694318793891,0.97457457,1.0,0.07169458040303123,0.10598323,1.0,12,11.633714,1.0,2.0461061297337704,1.7712771,1.0,0.030730459873114947,0.024703477,1.0
146,0.5687632137736336,0.5878321,1.0,0.5391131234446342,0.6205404,1.0,0.3822961247653992,0.47555804,1.0,0.12781600718102237,0.47148308,1.0,4,4.2219024,1.0,1.5313282381548152,1.3498594,1.0,0.014428636898895831,0.01668667,1.0
147,0.9474680552952321,0.82036746,0.0,0.786404964634754,0.7894004,1.0,0.38212830975862055,0.12640876,0.0,0.36157525174324745,0.5001748,1.0,16,15.179701,0.0,2.9766994251975647,4.6769133,1.0,0.022436667329078668,0.04206322,1.0
148,0.7102993666641758,0.7749989,0.0,0.54566503793794,0.55610657,1.0,0.6670885486432179,0.7462659,1.0,0.6033987189370614,0.68299985,1.0,13,13.725445,1.0,21.43125812474417,28.170237,1.0,0.1265270592473967,0.1600193,1.0
149,0.768071851055331,0.7241487,1.0,0.7804104540583905,0.8039953,1.0,0.39665890733885834,0.23588565,1.0,0.3364148960630634,0.5434337,0.0,7,5.7778096,0.0,1.9764339202163175,3.0974922,1.0,0.01029842703509932,0.017854445,0.0
150,0.5373489843408171,0.6245243,1.0,0.5576410477556135,0.7398741,1.0,0.9134318598189778,0.5378121,1.0,0.3201820358080155,0.41360068,1.0,16,9.968889,0.0,46.0644756122834,37.105618,1.0,0.07036149140917715,0.02858881,1.0
151,0.6376290406442631,0.66478664,1.0,0.7895569404626754,0.83342254,1.0,0.5827073682580617,0.6277389,1.0,0.5791736955413587,0.599728,1.0,9,8.547715,1.0,13.0500226542103,15.832341,1.0,0.02314634638982543,0.036098924,1.0
152,0.5749195529254492,0.60150796,0.0,0.7827554545546502,0.83171314,1.0,0.05929427890814354,0.19602288,1.0,0.38297445165702815,0.24689883,1.0,10,8.555256,0.0,21.840456499826317,18.924425,1.0,0.03380829370904485,0.03205549,1.0
153,0.8063722630232244,0.8387308,1.0,0.9105956919874886,0.9358871,1.0,0.8098625164041259,0.8612493,1.0,0.877202488408507,0.8603977,1.0,13,12.139889,0.0,1.8687827922234854,2.2961392,1.0,0.016646003712083152,0.017521374,1.0
154,0.978577165854847,0.8424913,0.0,0.6949498572449333,0.6862212,1.0,0.043455211466910004,0.23629323,1.0,0.441924177189732,0.5023167,1.0,10,8.594668,0.0,22.29179917517762,30.160135,1.0,0.05844124901746134,0.073033616,1.0
155,0.7519973242399771,0.7766732,1.0,0.7348020656535732,0.80898976,1.0,0.06565121152909958,0.11594778,1.0,0.41983848839565063,0.50257057,1.0,14,14.060842,1.0,21.840345561666926,22.366413,1.0,0.3250360730993954,0.35824147,1.0
156,0.886224030852524,0.74688584,1.0,0.8059338304869132,0.8910181,1.0,0.8439631801995057,0.60568017,1.0,0.09893950600209844,0.13480607,1.0,7,7.214404,1.0,10.650049481704935,23.97566,0.0,0.21686901788733917,0.3384905,1.0
157,0.7488487816821654,0.7275504,1.0,0.6198658946132352,0.63380396,1.0,0.48338950546997794,0.2861193,1.0,0.17969672603623255,0.32578012,1.0,15,13.201185,0.0,21.53603254976535,19.790426,1.0,0.054493334246568714,0.04163423,1.0
158,0.8569869933479273,0.90455335,1.0,0.9607816963164204,0.6812099,0.0,0.03719612067524458,0.33170307,0.0,0.9552436244322519,0.7471445,0.0,13,11.886982,0.0,26.048717210633228,27.857075,1.0,0.05183137530306905,0.055726152,1.0
159,0.9445909360360663,0.9258042,1.0,0.9315412309654565,0.72998464,0.0,0.051602022163963035,0.18137607,1.0,0.9269564889382353,0.4904164,0.0,5,5.293782,1.0,2.8803395545444572,17.020702,0.0,0.0441413375713329,0.22216755,0.0
160,0.6357606420532129,0.6667484,1.0,0.8792346628584444,0.7570008,1.0,0.4413624506650735,0.57936597,1.0,0.4009955787437729,0.5709485,1.0,10,10.100334,1.0,4.137487243242997,13.225792,1.0,0.3884304538122769,0.37462556,1.0
161,0.6714102348346762,0.68451464,1.0,0.9931169505865937,0.90863746,1.0,0.15148291850509177,0.11522771,1.0,0.6365065722768509,0.5878938,1.0,14,12.981926,0.0,9.884562529971769,9.502993,1.0,0.062680935036963,0.049342535,1.0
162,0.5534658311170728,0.6279918,1.0,0.9233631386989536,0.73370504,1.0,0.7525028548346093,0.65644336,1.0,0.4529271460816885,0.5585817,1.0,8,8.124423,1.0,11.281901857979673,11.614294,1.0,0.29126128519583105,0.36382246,1.0
163,0.9016316353602116,0.9330145,1.0,0.6724981196068944,0.67581904,1.0,0.9910165360539606,0.9948563,1.0,0.7703106689919418,0.75882214,1.0,15,13.045275,0.0,2.7675285295343204,5.962598,0.0,0.01306527373342533,0.026981762,0.0
164,0.5625509317847275,0.5937048,1.0,0.6818904799230826,0.8073786,0.0,0.5080511997412939,0.43065876,1.0,0.006547754659748328,0.3345702,0.0,5,4.4429407,0.0,18.12248765810771,22.079556,1.0,0.012996522534135399,0.028776003,1.0
165,0.7900550696689603,0.6357997,1.0,0.9241586952828806,0.6991097,1.0,0.9664317615837192,0.8030221,1.0,0.8448830266723476,0.51405287,1.0,14,14.205826,1.0,1.8840614181020914,1.9614965,1.0,0.08531027980455853,0.051091522,1.0
