case,gt_q_d,mu_q_d,hit90_q_d,gt_q_s,mu_q_s,hit90_q_s,gt_tau,mu_tau,hit90_tau,gt_cost_stop_error,mu_cost_stop_error,hit90_cost_stop_error,gt_cost_go_error,mu_cost_go_error,hit90_cost_go_error,gt_cost_time,mu_cost_time,hit90_cost_time
15,0.6104411045359468,0.6673167,0.0,0.8859660683668107,0.7750763,1.0,14,14.009553,1.0,1.143194447315839,3.3293457,0.0,4.375515836412718,3.2662382,1.0,0.22298939332556905,0.17799619,1.0
16,0.7570065109964379,0.78380466,1.0,0.6478984311689353,0.7210006,1.0,6,6.0942135,1.0,9.061314907181167,16.092352,1.0,1.8078022936689158,1.4838529,1.0,0.39284075050141676,0.41206068,1.0
17,0.7979102978485404,0.8549744,1.0,0.9290506709525626,0.8694397,1.0,12,10.799713,0.0,5.573516575860054,7.573261,1.0,13.648092668679507,14.129086,1.0,0.018390726581976487,0.029613938,1.0
18,0.9025544897159326,0.91190183,1.0,0.5807176743354041,0.5938524,1.0,9,9.161557,1.0,9.607281815830534,7.8244314,1.0,8.66238748130544,5.0253916,1.0,0.356697704397242,0.19658308,1.0
19,0.902066050847534,0.8795799,1.0,0.810299891585223,0.83522165,1.0,10,9.320381,1.0,4.333304792641254,2.8928638,1.0,34.5781752123687,38.740658,1.0,0.04822540332108924,0.03728255,1.0
20,0.815922442580131,0.817432,1.0,0.6241937580786135,0.7069905,0.0,11,10.594968,1.0,45.51556897641245,39.99347,1.0,38.956722953079414,7.453225,0.0,0.017661385023023272,0.021027364,1.0
21,0.6580749605121288,0.67643577,1.0,0.5253789422676849,0.5418608,1.0,10,7.95757,1.0,16.61999589969525,10.966857,1.0,5.2489502789397955,4.123437,1.0,0.11881684568498226,0.06377174,1.0
22,0.5445424483264725,0.6261616,1.0,0.5385704756927352,0.78062546,1.0,10,10.192411,1.0,1.2918408125264897,29.09733,0.0,46.232592913328816,19.473495,0.0,0.011608922886031459,0.04523008,1.0
23,0.8118900307962379,0.8608458,0.0,0.5349969190537626,0.80861974,0.0,13,13.039921,1.0,4.370490363586475,3.355375,1.0,3.7667526929176254,3.427585,1.0,0.4614354168093728,0.3047162,0.0
24,0.9324676158245693,0.9356522,1.0,0.5841020110144266,0.6023565,1.0,14,14.200553,1.0,1.1157725236526765,4.34983,1.0,23.226961396521233,22.654099,1.0,0.2737697915281334,0.32289308,1.0
25,0.8307125573508748,0.874853,1.0,0.7214935845360004,0.7016572,1.0,14,14.129576,1.0,29.870467570862022,19.992092,1.0,3.338811471918518,1.987196,1.0,0.33514394664057423,0.20465313,1.0
26,0.5440557513264774,0.5306096,1.0,0.8981994038158476,0.883933,1.0,11,11.250852,1.0,3.9862592344422536,4.927995,1.0,3.835110561754159,3.4249222,1.0,0.08896727996611664,0.08809048,1.0
27,0.8324268805330262,0.82167375,1.0,0.8041655340266487,0.79694057,1.0,11,10.930205,1.0,7.413066116579071,3.4409623,1.0,27.924694131882895,23.406748,1.0,0.44423074992503253,0.2875048,1.0
28,0.8030814091820881,0.7907976,1.0,0.9252684047783981,0.88712686,1.0,5,5.0958996,1.0,1.8826539428196936,3.1386397,1.0,6.784258572344856,8.620028,1.0,0.026586501297562546,0.047591332,1.0
29,0.8353323736074716,0.8221381,1.0,0.7213990034844617,0.7163953,1.0,10,8.689877,0.0,32.96381244185766,25.306734,1.0,6.646371378152653,3.4556255,1.0,0.10390818989115187,0.05782168,1.0
30,0.7697425204521753,0.8210168,1.0,0.7388380410687405,0.74624586,1.0,6,5.7327003,1.0,24.421245936101222,24.225185,1.0,3.280330179922762,4.679867,1.0,0.03614656602139171,0.03916236,1.0
31,0.7993571754752039,0.8199938,1.0,0.6559649489091903,0.69988096,1.0,11,10.63999,1.0,42.44124785008998,38.538506,1.0,6.305270879580572,5.5342298,1.0,0.021916494169953126,0.020500153,1.0
32,0.6803497411392099,0.6710387,1.0,0.6161046330611708,0.56023735,1.0,10,10.186455,1.0,1.742276095041176,14.683228,1.0,34.70959364780002,31.68629,1.0,0.30153275959243947,0.39939025,1.0
33,0.6463955986456817,0.613929,1.0,0.8130127707978383,0.7968682,1.0,5,5.000738,1.0,23.474577316842954,26.459953,1.0,1.4865425964235917,2.3364556,1.0,0.026794528408565495,0.041916892,1.0
34,0.6601854263976195,0.6615066,1.0,0.997836338985096,0.9399631,0.0,6,5.0639195,1.0,7.990511339370986,10.377781,1.0,4.1702465695933,3.56552,1.0,0.03347825924768234,0.047453433,1.0
35,0.9221278429559743,0.913078,1.0,0.7490957119894124,0.6683411,0.0,6,5.889393,1.0,3.538584741311643,4.1611404,1.0,17.56198027422463,22.486315,1.0,0.12611771727342533,0.16811578,1.0
36,0.5552669449265557,0.5523564,1.0,0.7801738728515424,0.7393468,1.0,6,6.5564327,1.0,11.013605489392033,2.754619,0.0,46.63012296415477,28.01323,0.0,0.4246193788130043,0.21176037,0.0
37,0.6364718424332134,0.65753233,0.0,0.5434487809863968,0.53414977,1.0,9,6.5121408,0.0,3.1242440632158415,5.0890875,0.0,1.265974809467297,1.5551127,1.0,0.011891320521804135,0.015990991,1.0
38,0.6650215223328398,0.6646723,1.0,0.6908547125202464,0.71302956,1.0,6,5.7837234,1.0,2.255898467536217,3.5730019,1.0,3.3751341042564533,4.4459257,1.0,0.0232867995883795,0.035280455,1.0
39,0.8091979822137666,0.793238,1.0,0.5262805573414782,0.57752806,1.0,6,5.780702,1.0,5.0458815256156555,4.662834,1.0,47.107384155053985,45.59031,1.0,0.09099924351283759,0.06464278,1.0
40,0.9878479934959556,0.90308374,1.0,0.5297593951412805,0.54945606,1.0,10,8.776904,1.0,12.393196304575348,17.577295,1.0,25.97689875357873,21.868889,1.0,0.02129063859651114,0.03436361,1.0
41,0.7634826201181348,0.76743567,1.0,0.6176208010985278,0.73190886,1.0,4,4.4227695,0.0,11.58260746702681,15.355402,1.0,1.4904223530197216,1.5121279,1.0,0.3940727391539348,0.40550596,1.0
42,0.9293158252845901,0.90278035,1.0,0.5176579305143738,0.5538138,1.0,15,14.820009,1.0,4.633468345446365,6.4202557,1.0,24.328387606672308,36.205338,0.0,0.07030207720429238,0.1405909,1.0
43,0.9293070127649671,0.86728245,1.0,0.8854909360290217,0.8413036,1.0,14,13.272571,1.0,8.412130105744007,11.55359,1.0,7.125393451657732,7.188976,1.0,0.01127852922116491,0.027038636,1.0
44,0.578235534116013,0.57085705,1.0,0.982387408324874,0.7254711,0.0,8,5.890331,0.0,14.146245463333543,7.493217,1.0,49.89121259149396,23.761747,0.0,0.18076134404992333,0.07086038,0.0
45,0.5102254646988533,0.6134205,1.0,0.5830095419826605,0.78679025,1.0,7,10.302445,1.0,48.639529001897436,28.532446,1.0,7.171015443535332,19.53644,1.0,0.04437373602682238,0.048249185,1.0
46,0.6002987154849555,0.62545985,1.0,0.5902557493642601,0.599069,1.0,9,9.169933,1.0,1.07614126255444,1.617523,1.0,2.8616844474700676,3.444629,1.0,0.05741863773308303,0.092782855,1.0
47,0.806579823595205,0.8341136,1.0,0.8826905770601026,0.82446545,1.0,6,6.465463,1.0,3.406885542957345,6.2725463,1.0,3.6701682688167137,3.981004,1.0,0.06042852581367086,0.09151611,1.0
48,0.6494523390004834,0.64122754,1.0,0.6887192442567003,0.6418982,1.0,16,14.816066,0.0,1.350049466691167,3.0746534,0.0,4.500814779398881,3.8501825,1.0,0.016518880846763624,0.025380826,1.0
49,0.8222910474656923,0.79532033,1.0,0.7457652194525041,0.7137103,0.0,14,13.99609,1.0,3.0776776291500014,2.4324727,1.0,36.11410931465541,40.392086,1.0,0.18761785957553703,0.24474704,1.0
50,0.5013513963319951,0.51513803,1.0,0.5873962587871694,0.6885659,1.0,13,7.3579345,0.0,12.018165132454723,8.32543,1.0,13.55442637711468,22.144938,1.0,0.16330821379592345,0.16146667,1.0
51,0.7566721832888466,0.75959,1.0,0.6152272649436876,0.5564155,1.0,9,9.175742,1.0,1.318918078476906,8.333347,0.0,23.545456400200525,24.790878,1.0,0.1571969445384271,0.23810403,1.0
52,0.7376316826676969,0.8391326,1.0,0.8205035416255837,0.8202204,1.0,8,7.4814425,1.0,32.239884291994116,31.688213,1.0,9.005900943297481,12.685519,1.0,0.06198029148502863,0.049971275,1.0
53,0.8720729710325215,0.85460764,1.0,0.549530690101369,0.56604666,1.0,10,9.530377,1.0,17.640741280341263,4.1693954,0.0,48.145208268945154,46.089573,1.0,0.1743819874311836,0.084166184,0.0
54,0.6598213840920845,0.6614884,1.0,0.9741270956700523,0.89251757,1.0,9,7.46257,0.0,3.8574375643084347,5.436327,1.0,9.541498865049247,10.278242,1.0,0.031231693668692755,0.03769254,1.0
55,0.8141623025607426,0.8330963,1.0,0.5959704388707421,0.63954175,1.0,10,10.499903,1.0,14.980787785178146,29.131403,1.0,15.153688389940866,23.199467,1.0,0.15616726430591657,0.34667182,0.0
56,0.6004207469811121,0.55824286,1.0,0.7225274347971915,0.72583115,1.0,9,9.193505,1.0,1.938225784779232,4.4100804,1.0,4.14955605184744,5.838469,1.0,0.2747626053256436,0.23625946,1.0
57,0.9868646544613605,0.9846359,1.0,0.8419390347981554,0.7579355,1.0,16,15.663688,1.0,2.849926600786895,14.918457,1.0,1.2287175776229593,2.077993,1.0,0.44222685008604073,0.35273483,1.0
58,0.8066587433655221,0.8401025,1.0,0.9650619747535882,0.8753016,0.0,13,11.979202,0.0,21.434166893667246,28.819242,1.0,6.076643382654995,17.494469,1.0,0.032837031156336856,0.06699085,1.0
59,0.5761564868198391,0.56933284,1.0,0.7989274904710308,0.771518,1.0,9,7.854505,0.0,9.073732132350505,14.822471,0.0,1.3600447869294838,1.4951277,1.0,0.01213220538795423,0.034414444,1.0
60,0.775789592249907,0.7793707,1.0,0.5088039048464024,0.54297996,1.0,7,6.9299393,1.0,2.5923296212671207,4.2401695,1.0,3.3711871109872313,5.12943,1.0,0.12269676796308975,0.16565564,1.0
61,0.5181477164965967,0.5413327,1.0,0.6549680835385774,0.7193828,1.0,15,15.11396,1.0,2.486481112791899,3.6479063,1.0,15.42281411222587,7.4174304,1.0,0.3721644563602486,0.24279048,1.0
